,,,"Stunting prevalence in children aged < 5 years (%)","Stunting prevalence in children aged < 5 years (%)","Underweight prevalence in children aged < 5 years (%)","Underweight prevalence in children aged < 5 years (%)","Wasting prevalence in children aged < 5 years (%)","Wasting prevalence in children aged < 5 years (%)","Severe wasting prevalence in children aged < 5 years (%)","Severe wasting prevalence in children aged < 5 years (%)","Overweight prevalence in children aged < 5 years (%)","Overweight prevalence in children aged < 5 years (%)"
"Country","Year","Data Source","2-5 years","0-1 years","2-5 years","0-1 years","2-5 years","0-1 years","2-5 years","0-1 years","2-5 years","0-1 years"
"Albania","2017","DHS","11.4 [9.4-13.9]","11.1 [8.7-14.2]","1.0 [0.6-1.5]","2.3 [1.3-4.0]","1.3 [0.8-2.1]","2.0 [1.2-3.1]","0.4 [0.2-0.9]","0.7 [0.4-1.5]","14.2 [11.9-16.8]","19.7 [16.6-23.2]"
"Albania","2008","DHS","20.1 [16.9-23.6]","29.6 [24.8-34.8]","5.7 [4.2-7.6]","7.4 [5.3-10.4]","7.8 [5.4-11.2]","12.9 [10.2-16.3]","5.4 [3.3-8.8]","7.0 [4.8-10.1]","22.6 [19.1-26.4]","24.5 [19.5-30.3]"
"Albania","2005","MICS","26.7 [22.9-30.8]","26.7 [22.2-31.8]","5.9 [4.2-8.3]","8.0 [5.3-11.9]","7.1 [5.1-9.8]","7.7 [5.2-11.4]","4.2 [2.8-6.2]","2.8 [1.4-5.3]","26.3 [22.2-30.8]","22.2 [18.2-26.8]"
"Algeria","2018","MICS","10.1 [9.2-11.2]","9.3 [8.1-10.6]","2.1 [1.8-2.6]","3.5 [2.8-4.3]","1.6 [1.3-2.0]","4.3 [3.6-5.2]","0.6 [0.4-0.8]","2.4 [1.9-3.0]","11.2 [10.2-12.3]","15.1 [13.9-16.5]"
"Algeria","2012","MICS","11.9 [10.7-13.2]","11.4 [10.3-12.5]","2.8 [2.3-3.3]","3.4 [2.9-4.0]","2.8 [2.3-3.3]","5.8 [5.1-6.7]","0.8 [0.6-1.1]","2.1 [1.7-2.6]","9.8 [8.8-10.9]","15.8 [14.5-17.2]"
"Angola","2015","DHS","41.2 [38.9-43.5]","32.7 [30.2-35.2]","19.2 [17.5-21.0]","18.8 [17.1-20.7]","3.6 [3.0-4.5]","6.7 [5.7-7.9]","0.6 [0.4-0.9]","1.6 [1.2-2.3]","2.4 [1.8-3.2]","4.8 [3.7-6.0]"
"Armenia","2015","DHS","7.1 [5.5-9.0]","12.9 [10.2-16.2]","2.4 [1.5-3.9]","3.0 [1.9-4.8]","5.3 [3.8-7.3]","3.2 [2.1-4.8]","2.2 [1.4-3.5]","1.0 [0.5-2.3]","12.9 [10.4-15.8]","14.9 [11.9-18.4]"
"Armenia","2010","DHS","23.1 [19.1-27.5]","18.0 [14.8-21.7]","4.8 [3.2-7.1]","5.9 [4.0-8.6]","3.9 [2.5-6.0]","4.4 [2.9-6.7]","1.9 [1.0-3.7]","2.1 [1.0-4.0]","17.6 [14.5-21.2]","15.0 [12.1-18.5]"
"Armenia","2005","DHS","16.9 [12.7-22.2]","19.2 [14.4-25.1]","3.3 [2.2-4.9]","5.4 [3.3-8.7]","4.2 [2.7-6.6]","6.9 [4.3-10.8]","2.4 [1.2-4.4]","3.0 [1.4-6.1]","11.2 [8.7-14.3]","11.6 [8.9-15.0]"
"Armenia","2000","DHS","20.2 [16.9-23.9]","12.6 [9.8-16.1]","2.1 [1.3-3.3]","3.3 [2.0-5.4]","1.4 [0.6-3.2]","4.5 [2.9-6.8]","0.3 [0.1-1.1]","1.5 [0.8-3.0]","14.5 [11.8-17.7]","17.6 [14.5-21.1]"
"Azerbaijan","2006","DHS","33.3 [29.2-37.7]","18.1 [15.1-21.5]","9.0 [6.3-12.8]","7.7 [5.9-9.9]","3.6 [2.5-5.2]","10.8 [8.5-13.6]","1.4 [0.7-2.9]","3.2 [1.9-5.4]","16.8 [14.1-19.9]","10.2 [8.0-12.9]"
"Bangladesh","2019","MICS","30.4 [29.4-31.4]","24.3 [23.2-25.4]","24.8 [24.0-25.7]","19.3 [18.3-20.2]","9.5 [8.9-10.1]","10.4 [9.7-11.2]","1.9 [1.6-2.2]","2.8 [2.4-3.2]","1.9 [1.6-2.3]","3.2 [2.8-3.7]"
"Bangladesh","2014","DHS","41.5 [39.2-43.9]","28.6 [26.4-30.9]","37.1 [34.9-39.4]","26.8 [24.6-29.0]","12.5 [11.4-13.7]","17.1 [14.8-19.6]","2.1 [1.7-2.8]","4.8 [3.7-6.1]","1.2 [0.9-1.7]","2.1 [1.3-3.3]"
"Bangladesh","2012","MICS","47.3 [46.0-48.6]","33.8 [32.5-35.2]","35.5 [34.3-36.8]","26.4 [25.1-27.7]","8.6 [8.0-9.2]","11.4 [10.5-12.4]","1.2 [1.0-1.5]","2.3 [1.9-2.7]","1.3 [1.1-1.7]","2.0 [1.6-2.5]"
"Bangladesh","2011","DHS","45.3 [43.3-47.4]","34.8 [32.7-36.9]","41.9 [40.0-43.8]","28.5 [26.4-30.7]","15.9 [14.7-17.1]","15.3 [13.7-17.1]","3.7 [3.0-4.5]","4.9 [4.0-6.0]","1.3 [0.9-1.7]","2.8 [2.2-3.6]"
"Bangladesh","2007","DHS","50.9 [48.6-53.3]","32.1 [29.8-34.5]","46.1 [44.0-48.1]","34.4 [31.9-37.0]","15.5 [14.0-17.2]","20.3 [18.3-22.4]","2.0 [1.5-2.7]","4.2 [3.3-5.3]","1.0 [0.7-1.5]","1.2 [0.7-1.9]"
"Bangladesh","2004","DHS","57.0 [54.7-59.2]","40.7 [38.1-43.3]","45.4 [43.1-47.8]","38.8 [36.4-41.2]","12.4 [11.4-13.4]","18.2 [16.4-20.2]","2.4 [1.9-3.1]","5.2 [4.2-6.5]","0.4 [0.2-0.8]","1.7 [1.2-2.4]"
"Bangladesh","1999","DHS","58.6 [56.5-60.7]","41.2 [39.2-43.3]","45.2 [43.3-47.1]","38.7 [36.5-41.0]","9.4 [8.4-10.5]","16.6 [14.8-18.6]","1.4 [1.0-1.9]","4.0 [3.3-4.8]","0.8 [0.5-1.2]","1.1 [0.7-1.6]"
"Bangladesh","1996","DHS","68.6 [66.7-70.6]","47.0 [44.5-49.4]","56.7 [54.7-58.8]","49.0 [46.5-51.6]","15.2 [13.7-16.8]","28.9 [26.8-31.1]","4.2 [3.4-5.1]","10.7 [9.3-12.3]","2.2 [1.7-2.8]","2.7 [2.0-3.5]"
"Barbados","2012","MICS","5.8 [3.4-9.6]","11.4 [6.8-18.4]","2.3 [1.1-5.1]","5.6 [2.8-11.0]","3.2 [1.5-6.6]","13.0 [8.1-20.2]","0.9 [0.2-3.8]","3.8 [1.5-9.3]","9.8 [6.7-14.0]","16.5 [10.4-25.1]"
"Belarus","2005","MICS","3.6 [2.7-4.8]","5.6 [4.1-7.7]","0.7 [0.4-1.1]","2.1 [1.1-3.8]","2.0 [1.4-2.8]","2.5 [1.4-4.6]","0.6 [0.3-1.1]","0.7 [0.2-2.1]","7.3 [6.0-8.8]","13.2 [11.3-15.3]"
"Belize","2015","MICS","16.9 [14.3-19.9]","11.8 [9.3-14.7]","4.9 [3.8-6.4]","4.0 [2.6-6.0]","1.6 [0.9-2.5]","2.1 [1.2-3.6]","0.2 [0.1-0.6]","1.0 [0.5-1.9]","7.4 [5.9-9.3]","7.2 [5.3-9.6]"
"Belize","2011","MICS","20.2 [16.9-23.9]","17.9 [14.9-21.4]","6.9 [5.5-8.5]","5.0 [3.6-7.0]","3.4 [2.5-4.8]","3.0 [1.9-4.8]","1.2 [0.6-2.4]","1.2 [0.5-2.5]","7.2 [5.5-9.3]","8.9 [6.7-11.7]"
"Belize","2006","MICS","23.5 [18.6-29.2]","19.8 [15.6-25.0]","6.5 [4.3-9.9]","2.8 [1.3-5.7]","2.2 [1.2-4.0]","1.5 [0.5-4.0]","0.9 [0.3-2.5]","0.7 [0.2-3.0]","11.6 [9.1-14.6]","16.9 [12.7-22.1]"
"Benin","2017","DHS","36.9 [35.3-38.6]","25.7 [24.4-27.1]","16.6 [15.5-17.7]","17.2 [15.9-18.5]","2.9 [2.5-3.4]","7.7 [6.9-8.6]","0.4 [0.3-0.6]","1.8 [1.5-2.2]","1.4 [1.1-1.7]","2.6 [2.2-3.1]"
"Benin","2014","MICS","39.4 [37.5-41.3]","26.4 [24.5-28.3]","18.7 [17.4-20.1]","17.1 [15.6-18.6]","2.9 [2.5-3.4]","6.7 [5.8-7.7]","0.4 [0.2-0.6]","1.6 [1.2-2.1]","1.3 [1.0-1.7]","2.4 [1.9-3.0]"
"Benin","2001","DHS","45.6 [43.0-48.3]","25.6 [23.8-27.6]","18.7 [16.8-20.8]","20.3 [18.6-22.2]","3.4 [2.7-4.3]","16.1 [14.7-17.7]","1.1 [0.8-1.6]","5.4 [4.5-6.5]","2.3 [1.7-3.0]","3.5 [2.7-4.5]"
"Bhutan","2010","MICS","37.4 [34.7-40.1]","27.4 [24.8-30.2]","14.1 [12.5-15.8]","10.5 [9.1-12.1]","3.7 [3.0-4.6]","9.2 [7.7-10.8]","0.9 [0.6-1.4]","3.8 [3.0-4.8]","6.0 [4.9-7.4]","9.9 [8.2-11.9]"
"Bolivia (Plurinational State of)","2008","DHS","31.4 [29.4-33.4]","20.9 [19.1-22.9]","3.7 [3.1-4.4]","5.6 [4.6-6.7]","0.5 [0.3-0.8]","2.7 [2.1-3.5]","0.1 [0.1-0.3]","1.0 [0.7-1.4]","8.2 [7.2-9.3]","9.3 [8.1-10.7]"
"Bolivia (Plurinational State of)","2003","DHS","36.5 [34.8-38.3]","25.6 [23.9-27.5]","4.8 [4.2-5.6]","7.5 [6.6-8.6]","1.0 [0.7-1.3]","3.0 [2.5-3.7]","0.4 [0.3-0.6]","1.1 [0.8-1.6]","8.4 [7.5-9.4]","10.6 [9.3-12.0]"
"Bolivia (Plurinational State of)","1998","DHS","37.3 [35.2-39.6]","27.4 [25.4-29.5]","5.2 [4.4-6.1]","6.9 [5.9-7.9]","0.7 [0.5-1.1]","3.0 [2.3-3.8]","0.4 [0.2-0.7]","1.3 [0.9-1.8]","9.7 [8.6-11.0]","12.0 [10.5-13.7]"
"Bosnia and Herzegovina","2011","MICS","6.1 [4.3-8.5]","13.3 [9.6-18.2]","1.0 [0.4-2.6]","2.4 [1.2-4.7]","1.8 [0.9-3.3]","3.3 [1.6-6.6]","1.2 [0.5-2.8]","2.2 [0.8-5.9]","16.7 [13.8-20.0]","18.5 [14.7-23.0]"
"Bosnia and Herzegovina","2006","MICS","11.1 [8.8-13.8]","13.0 [10.7-15.6]","1.6 [0.9-2.8]","1.6 [0.8-3.1]","2.7 [1.7-4.3]","6.1 [4.3-8.5]","1.3 [0.7-2.7]","1.7 [1.1-2.7]","26.3 [23.0-29.8]","24.8 [21.4-28.6]"
"Brazil","1996","DHS","13.5 [11.9-15.1]","12.4 [10.7-14.2]","4.5 [3.6-5.6]","4.6 [3.7-5.7]","2.1 [1.5-3.0]","3.8 [3.0-5.0]","0.4 [0.2-0.7]","1.8 [1.2-2.7]","4.7 [3.8-5.8]","8.0 [6.6-9.7]"
"Burkina Faso","2010","DHS","40.8 [38.8-42.8]","26.0 [24.3-27.9]","24.4 [22.8-25.9]","28.9 [26.8-31.0]","9.1 [7.8-10.6]","24.8 [22.8-26.9]","3.2 [2.4-4.3]","9.8 [8.7-11.2]","3.0 [2.4-3.7]","2.5 [1.9-3.3]"
"Burkina Faso","1998","DHS","54.8 [52.1-57.5]","27.8 [25.5-30.2]","30.8 [28.2-33.6]","31.0 [28.3-33.8]","7.3 [6.1-8.6]","24.5 [22.3-26.9]","2.2 [1.6-2.9]","9.0 [7.5-10.7]","2.0 [1.4-2.7]","1.8 [1.2-2.8]"
"Burundi","2016","DHS","62.8 [60.6-64.9]","46.1 [43.8-48.4]","31.8 [29.9-33.8]","25.8 [23.9-27.7]","3.4 [2.8-4.1]","7.6 [6.6-8.9]","0.7 [0.5-1.1]","1.2 [0.8-1.7]","1.1 [0.8-1.6]","1.7 [1.2-2.3]"
"Burundi","2010","DHS","64.8 [62.6-67.0]","47.8 [45.0-50.6]","29.4 [27.1-31.7]","28.8 [26.3-31.5]","3.6 [2.8-4.6]","9.2 [7.6-11.2]","0.4 [0.2-0.8]","2.8 [2.0-3.8]","2.4 [1.8-3.2]","3.4 [2.6-4.6]"
"Cambodia","2014","DHS","38.1 [35.7-40.5]","24.5 [22.2-27.0]","29.3 [27.0-31.6]","17.0 [14.9-19.2]","8.6 [7.3-10.0]","11.4 [9.5-13.5]","1.6 [1.1-2.3]","3.7 [2.8-4.9]","1.3 [0.9-1.9]","3.6 [2.5-5.0]"
"Cambodia","2010","DHS","47.1 [44.4-49.8]","28.7 [26.1-31.6]","34.2 [31.8-36.8]","20.8 [18.6-23.3]","9.1 [7.6-10.9]","14.0 [12.1-16.1]","2.3 [1.5-3.5]","3.4 [2.5-4.7]","1.5 [1.0-2.2]","2.5 [1.8-3.7]"
"Cambodia","2005","DHS","50.9 [48.2-53.7]","31.0 [27.9-34.4]","32.9 [30.6-35.3]","21.6 [19.2-24.2]","6.8 [5.6-8.1]","11.0 [9.3-13.0]","1.0 [0.6-1.6]","2.9 [2.0-4.1]","1.2 [0.7-1.9]","2.3 [1.6-3.3]"
"Cambodia","2000","DHS","57.1 [54.5-59.8]","36.1 [33.1-39.1]","46.3 [43.7-48.8]","29.4 [26.9-32.1]","15.1 [13.3-17.2]","20.2 [17.7-22.9]","6.3 [5.1-7.8]","9.5 [7.8-11.7]","2.5 [1.8-3.4]","6.3 [4.9-8.1]"
"Cameroon","2018","DHS","30.1 [28.0-32.3]","27.2 [24.6-29.9]","11.0 [9.2-13.2]","11.0 [9.2-13.2]","3.3 [2.3-4.7]","5.8 [4.5-7.4]","1.3 [0.9-2.0]","2.0 [1.4-3.0]","9.9 [8.2-11.9]","12.7 [10.4-15.6]"
"Cameroon","2014","MICS","37.2 [34.7-39.8]","23.9 [22.2-25.7]","15.7 [13.5-18.1]","13.5 [11.7-15.4]","3.8 [3.0-4.8]","7.3 [6.0-8.9]","0.8 [0.6-1.3]","2.0 [1.4-2.8]","5.9 [5.0-6.9]","7.9 [6.6-9.3]"
"Cameroon","2011","DHS","38.6 [36.6-40.6]","24.7 [22.8-26.7]","15.6 [14.1-17.1]","14.7 [13.0-16.5]","3.1 [2.5-3.8]","9.2 [7.9-10.6]","1.1 [0.8-1.6]","3.1 [2.4-4.0]","5.7 [4.9-6.7]","7.5 [6.2-9.1]"
"Cameroon","2006","MICS","45.6 [42.8-48.4]","27.2 [24.8-29.7]","16.6 [14.5-18.9]","16.5 [14.3-18.9]","3.2 [2.4-4.3]","13.4 [11.5-15.5]","0.9 [0.6-1.4]","4.9 [3.7-6.6]","11.9 [10.3-13.7]","8.6 [7.1-10.3]"
"Cameroon","2004","DHS","40.2 [37.3-43.1]","29.6 [27.4-32.0]","15.2 [13.5-17.1]","14.9 [13.2-16.8]","3.7 [2.9-4.7]","9.5 [8.2-11.0]","1.0 [0.6-1.7]","4.0 [3.0-5.2]","9.2 [7.8-10.8]","8.4 [6.7-10.3]"
"Central African Republic","2018","MICS","47.9 [45.8-50.0]","27.0 [25.1-29.0]","24.2 [22.6-26.0]","17.2 [15.7-18.7]","3.8 [3.1-4.7]","7.8 [6.8-8.9]","0.9 [0.7-1.3]","2.3 [1.8-3.1]","3.1 [2.5-3.8]","3.4 [2.6-4.3]"
"Central African Republic","2010","MICS","50.3 [47.9-52.6]","28.1 [26.2-30.0]","25.8 [24.0-27.7]","20.3 [18.7-22.1]","4.6 [3.9-5.4]","11.1 [9.8-12.5]","1.3 [0.9-1.7]","2.7 [2.1-3.3]","1.6 [1.2-2.1]","2.1 [1.7-2.7]"
"Central African Republic","2006","MICS","54.4 [51.7-57.2]","31.3 [28.9-33.8]","29.5 [27.1-32.1]","22.3 [20.4-24.3]","8.5 [7.0-10.4]","16.4 [14.7-18.3]","3.7 [2.7-5.1]","6.6 [5.6-7.7]","7.8 [6.6-9.1]","10.2 [8.3-12.5]"
"Chad","2019","MICS","42.3 [40.9-43.6]","30.0 [28.6-31.4]","29.3 [28.1-30.6]","28.9 [27.5-30.3]","11.3 [10.5-12.2]","18.5 [17.2-19.8]","3.3 [2.9-3.7]","6.6 [6.0-7.4]","2.2 [1.8-2.7]","2.6 [2.2-3.1]"
"Chad","2014","DHS","48.7 [46.8-50.6]","25.7 [24.1-27.3]","33.0 [31.4-34.6]","23.8 [22.3-25.5]","10.2 [9.2-11.2]","18.1 [16.5-19.8]","3.3 [2.7-4.1]","6.1 [5.2-7.2]","3.2 [2.7-3.8]","2.2 [1.8-2.8]"
"Chad","2010","MICS","44.5 [41.9-47.0]","31.1 [29.3-32.9]","31.3 [28.7-34.1]","29.1 [27.2-31.1]","11.2 [9.4-13.2]","20.3 [18.7-21.9]","4.3 [3.2-5.8]","7.3 [6.3-8.3]","3.3 [2.6-4.3]","2.3 [1.8-2.9]"
"Chad","2004","DHS","56.1 [53.7-58.5]","28.7 [26.4-31.1]","37.3 [34.5-40.2]","29.2 [26.0-32.6]","10.6 [9.1-12.3]","23.7 [20.8-26.9]","4.2 [3.4-5.2]","9.7 [7.9-11.9]","4.9 [3.8-6.2]","3.5 [2.5-4.8]"
"Chad","1996","DHS","56.2 [54.4-58.0]","30.7 [28.4-33.1]","38.2 [36.3-40.2]","29.5 [27.4-31.7]","10.9 [9.6-12.2]","23.4 [21.8-25.0]","3.3 [2.6-4.1]","9.4 [8.2-10.9]","2.7 [2.1-3.4]","2.7 [2.0-3.6]"
"Colombia","2000","DHS","19.9 [18.0-21.9]","15.8 [14.1-17.6]","5.3 [4.3-6.4]","4.5 [3.6-5.6]","0.5 [0.3-0.9]","1.7 [1.2-2.5]","0.2 [0.1-0.5]","0.6 [0.3-1.1]","4.2 [3.4-5.2]","6.8 [5.6-8.3]"
"Colombia","1995","DHS","22.6 [20.7-24.6]","15.5 [13.9-17.3]","6.9 [5.9-8.1]","5.4 [4.4-6.6]","1.5 [1.0-2.1]","1.9 [1.4-2.7]","0.5 [0.3-1.0]","0.6 [0.3-1.1]","4.1 [3.3-5.0]","5.1 [4.1-6.3]"
"Comoros","2012","DHS","31.4 [28.6-34.4]","30.7 [27.3-34.3]","17.4 [15.1-20.1]","16.3 [14.0-18.7]","8.4 [7.0-10.1]","15.3 [13.0-17.9]","3.6 [2.6-4.9]","5.8 [4.4-7.7]","10.7 [9.0-12.8]","10.5 [8.6-12.7]"
"Congo","2014","MICS","21.5 [19.6-23.5]","20.7 [18.7-22.9]","11.3 [10.0-12.7]","13.7 [12.1-15.5]","6.1 [4.9-7.6]","11.3 [9.5-13.3]","2.1 [1.5-3.0]","3.4 [2.4-4.8]","5.2 [3.9-6.9]","7.1 [5.2-9.5]"
"Congo","2011","DHS","26.6 [24.3-29.1]","21.7 [19.0-24.6]","11.3 [9.8-13.0]","12.3 [10.2-14.8]","4.5 [3.3-5.9]","8.0 [6.6-9.8]","1.0 [0.6-1.6]","2.6 [1.8-3.7]","3.5 [2.4-5.1]","3.5 [2.6-4.8]"
"Congo","2005","DHS","35.8 [32.7-39.1]","25.0 [22.7-27.4]","12.5 [10.7-14.6]","11.0 [9.7-12.5]","5.9 [4.8-7.4]","10.5 [8.9-12.4]","2.0 [1.3-3.0]","4.4 [3.4-5.8]","8.2 [6.8-9.9]","9.1 [7.3-11.2]"
"Costa Rica","2018","MICS","9.6 [6.0-14.9]","7.9 [5.9-10.6]","3.0 [2.1-4.2]","2.7 [1.7-4.4]","1.8 [1.2-2.9]","1.7 [0.9-2.9]","0.2 [0.0-0.7]","0.1 [0.0-0.4]","7.2 [5.7-9.2]","8.1 [5.5-11.7]"
"Côte d'Ivoire","2016","MICS","25.2 [23.4-27.2]","16.5 [14.9-18.3]","12.4 [11.3-13.7]","13.3 [11.9-14.8]","3.4 [2.8-4.1]","9.9 [8.7-11.2]","0.5 [0.3-0.9]","2.2 [1.7-2.9]","1.2 [0.8-1.8]","1.9 [1.4-2.5]"
"Côte d'Ivoire","2011","DHS","34.3 [31.6-37.2]","24.0 [21.4-26.9]","14.7 [12.8-17.0]","17.0 [14.9-19.4]","3.8 [2.8-5.1]","12.7 [10.8-14.9]","0.6 [0.4-1.1]","3.4 [2.4-4.7]","2.8 [2.1-3.9]","3.7 [2.7-5.1]"
"Côte d'Ivoire","1998","DHS","37.7 [33.5-42.1]","24.5 [21.2-28.0]","17.5 [14.3-21.3]","18.9 [15.8-22.5]","4.3 [3.2-5.8]","9.6 [7.0-13.1]","1.2 [0.6-2.2]","2.5 [1.7-3.8]","4.8 [3.4-6.7]","4.6 [3.0-6.8]"
"Cuba","2019","MICS","7.5 [5.7-9.9]","6.5 [4.8-8.6]","2.7 [1.9-3.7]","1.9 [1.0-3.4]","1.7 [1.3-2.2]","2.6 [1.6-4.3]","0.5 [0.3-0.9]","0.8 [0.4-2.0]","9.8 [8.0-12.0]","11.1 [8.7-14.1]"
"Democratic Republic of the Congo","2017","MICS","47.6 [45.1-50.1]","33.2 [31.2-35.3]","25.9 [24.1-27.8]","18.9 [17.4-20.4]","5.2 [4.4-6.2]","8.2 [7.1-9.3]","1.5 [1.1-2.0]","2.9 [2.3-3.6]","2.8 [2.3-3.4]","5.3 [4.5-6.3]"
"Democratic Republic of the Congo","2013","DHS","51.8 [49.8-53.9]","29.2 [27.0-31.5]","27.7 [25.7-29.7]","17.2 [15.5-19.1]","6.1 [5.1-7.4]","11.0 [9.5-12.8]","2.1 [1.6-2.6]","4.0 [3.2-5.1]","3.3 [2.7-4.2]","6.1 [4.9-7.5]"
"Democratic Republic of the Congo","2010","MICS","52.1 [49.6-54.5]","32.8 [30.8-34.8]","27.2 [25.1-29.4]","20.5 [18.8-22.4]","6.2 [5.2-7.3]","11.3 [10.1-12.7]","2.1 [1.6-2.8]","3.6 [2.9-4.3]","4.6 [3.7-5.7]","5.2 [4.3-6.4]"
"Democratic Republic of the Congo","2007","DHS","55.1 [51.2-58.9]","30.7 [26.3-35.4]","30.4 [27.2-33.9]","18.1 [15.3-21.4]","7.9 [6.2-10.0]","14.4 [11.2-18.3]","3.8 [2.7-5.3]","6.6 [4.8-9.0]","6.6 [5.2-8.3]","7.9 [6.1-10.2]"
"Dominican Republic","2013","DHS","6.0 [4.8-7.6]","8.8 [7.2-10.7]","4.0 [3.0-5.4]","4.0 [2.8-5.7]","2.1 [1.3-3.3]","2.8 [1.9-4.2]","0.7 [0.3-1.9]","1.0 [0.4-2.3]","5.7 [4.6-7.0]","10.2 [8.3-12.6]"
"Dominican Republic","2007","DHS","9.7 [8.6-10.9]","10.7 [9.3-12.3]","3.1 [2.6-3.7]","3.8 [2.9-4.9]","2.1 [1.6-2.7]","2.7 [2.0-3.5]","0.7 [0.4-1.3]","1.1 [0.7-1.7]","7.5 [6.6-8.5]","9.4 [8.2-10.9]"
