,,,"Stunting prevalence in children aged < 5 years (%)","Stunting prevalence in children aged < 5 years (%)","Underweight prevalence in children aged < 5 years (%)","Underweight prevalence in children aged < 5 years (%)","Wasting prevalence in children aged < 5 years (%)","Wasting prevalence in children aged < 5 years (%)","Severe wasting prevalence in children aged < 5 years (%)","Severe wasting prevalence in children aged < 5 years (%)","Overweight prevalence in children aged < 5 years (%)","Overweight prevalence in children aged < 5 years (%)"
"Dominican Republic","2002","DHS","11.5 [10.1-13.0]","11.9 [10.5-13.5]","4.3 [3.7-5.0]","4.0 [3.4-4.8]","1.5 [1.1-1.9]","3.3 [2.6-4.2]","0.4 [0.3-0.6]","1.3 [0.9-2.0]","8.5 [7.4-9.6]","9.0 [7.7-10.4]"
"Dominican Republic","1996","DHS","14.0 [12.3-15.8]","13.0 [11.1-15.0]","4.4 [3.6-5.3]","5.2 [4.0-6.7]","1.1 [0.6-1.8]","3.3 [2.4-4.5]","0.3 [0.1-0.8]","1.0 [0.6-1.7]","6.4 [5.0-8.2]","7.0 [5.3-9.2]"
"Ecuador","2004","RHS","33.9 [31.5-36.4]","21.3 [19.0-23.8]","7.0 [6.0-8.2]","6.1 [4.8-7.7]","0.6 [0.4-0.9]","4.5 [3.5-5.8]","0.1 [0.0-0.3]","1.6 [1.0-2.4]","5.2 [4.6-5.8]","5.5 [4.5-6.6]"
"Egypt","2014","DHS","22.5 [21.0-23.9]","22.0 [20.7-23.4]","6.3 [5.6-7.0]","7.9 [7.1-8.8]","7.6 [6.8-8.4]","12.0 [10.9-13.1]","3.6 [3.2-4.2]","6.3 [5.6-7.1]","15.4 [14.2-16.6]","16.1 [15.0-17.4]"
"Egypt","2008","DHS","32.2 [30.6-33.9]","28.7 [27.0-30.3]","6.6 [5.8-7.5]","7.0 [6.2-8.0]","7.0 [6.2-8.0]","9.1 [8.2-10.2]","3.4 [2.8-4.1]","4.3 [3.6-5.1]","20.6 [19.1-22.1]","20.2 [18.8-21.7]"
"Egypt","2005","DHS","21.7 [20.6-22.9]","27.0 [25.6-28.5]","3.7 [3.2-4.2]","8.0 [7.2-8.9]","3.5 [3.0-4.0]","8.0 [7.1-9.1]","1.4 [1.2-1.7]","4.0 [3.4-4.8]","12.3 [11.4-13.3]","16.8 [15.6-18.0]"
"Egypt","2000","DHS","23.8 [22.5-25.2]","25.2 [23.7-26.8]","","","","","","","",""
"Egypt","1995","DHS","37.4 [35.7-39.2]","31.0 [29.3-32.7]","8.3 [7.5-9.2]","14.4 [13.0-15.8]","3.3 [2.8-3.9]","9.2 [8.1-10.4]","1.2 [1.0-1.5]","3.8 [3.1-4.6]","16.1 [14.8-17.5]","12.4 [11.1-13.8]"
"El Salvador","2014","MICS","14.6 [13.1-16.1]","12.3 [10.7-14.1]","5.0 [4.2-5.9]","4.9 [3.9-6.2]","1.5 [1.1-2.1]","3.0 [2.3-3.9]","0.2 [0.1-0.4]","0.6 [0.4-1.1]","6.7 [5.7-7.8]","5.9 [4.9-7.2]"
"El Salvador","2008","RHS","22.8 [20.7-25.1]","17.9 [15.5-20.7]","7.0 [5.6-8.7]","6.2 [4.7-8.1]","1.1 [0.4-2.6]","2.3 [1.6-3.2]","0.5 [0.2-1.3]","0.5 [0.2-1.0]","5.4 [4.5-6.6]","6.0 [4.7-7.6]"
"El Salvador","2002","RHS","28.3 [24.5-32.5]","18.6 [16.0-21.5]","6.3 [4.8-8.1]","6.0 [4.5-7.9]","0.8 [0.5-1.4]","2.1 [1.3-3.3]","0.3 [0.1-0.6]","0.3 [0.1-0.9]","5.2 [4.0-6.7]","6.8 [4.6-9.8]"
"El Salvador","1998","RHS","37.1 [34.9-39.4]","25.1 [22.5-27.9]","10.5 [9.1-12.0]","8.4 [7.0-10.0]","0.9 [0.6-1.2]","2.4 [1.8-3.3]","0.2 [0.1-0.4]","0.7 [0.3-1.2]","3.4 [2.8-4.2]","4.6 [3.6-6.0]"
"El Salvador","1993","RHS","38.7 [35.6-41.9]","20.9 [18.6-23.5]","8.9 [7.4-10.6]","6.8 [5.6-8.1]","0.8 [0.6-1.2]","2.6 [1.8-3.6]","0.2 [0.1-0.8]","0.9 [0.3-2.2]","3.5 [2.7-4.5]","3.9 [3.0-5.1]"
"Eswatini","2014","MICS","26.7 [24.2-29.3]","23.8 [20.8-27.1]","4.9 [3.9-6.1]","7.2 [5.4-9.7]","1.1 [0.6-1.9]","3.5 [2.0-6.0]","0.1 [0.0-0.5]","0.7 [0.3-1.5]","6.5 [5.1-8.2]","12.9 [10.5-15.8]"
"Eswatini","2010","MICS","33.4 [30.6-36.4]","27.2 [24.2-30.4]","5.7 [4.5-7.2]","6.2 [4.6-8.2]","0.2 [0.1-0.5]","1.6 [0.9-2.9]","0.1 [0.0-0.4]","0.8 [0.3-2.0]","8.1 [6.8-9.7]","14.5 [12.3-17.1]"
"Eswatini","2006","DHS","30.7 [28.3-33.1]","27.0 [23.9-30.2]","4.9 [4.1-5.9]","7.7 [6.2-9.5]","1.7 [1.1-2.4]","4.7 [3.6-6.0]","0.8 [0.4-1.4]","1.8 [1.2-2.7]","9.2 [7.9-10.7]","14.0 [12.0-16.2]"
"Ethiopia","2016","DHS","45.3 [42.9-47.8]","28.0 [25.8-30.2]","27.1 [25.2-29.0]","18.4 [16.5-20.5]","7.5 [6.5-8.6]","13.6 [12.0-15.5]","2.4 [1.8-3.2]","4.0 [3.1-5.1]","1.6 [1.2-2.3]","4.8 [3.8-6.2]"
"Ethiopia","2011","DHS","53.6 [51.5-55.6]","29.8 [27.6-32.0]","33.3 [31.3-35.4]","22.7 [20.5-25.1]","7.1 [6.1-8.2]","14.3 [12.6-16.1]","1.6 [1.2-2.2]","4.9 [3.8-6.2]","1.3 [1.0-1.8]","2.7 [2.1-3.5]"
"Ethiopia","2005","DHS","56.9 [54.3-59.5]","38.7 [35.5-42.1]","38.4 [35.7-41.1]","27.8 [24.9-31.0]","9.6 [8.0-11.6]","16.9 [14.3-19.7]","3.5 [2.6-4.7]","6.6 [5.3-8.2]","3.4 [2.6-4.4]","7.9 [6.2-9.9]"
"Ethiopia","2000","DHS","66.0 [63.9-68.0]","44.4 [42.0-46.9]","45.8 [43.7-47.8]","35.9 [33.6-38.3]","8.4 [7.4-9.4]","18.7 [16.9-20.6]","2.1 [1.7-2.7]","6.5 [5.5-7.6]","1.1 [0.8-1.5]","3.5 [2.8-4.4]"
"Gabon","2012","DHS","18.0 [15.1-21.3]","15.7 [13.2-18.7]","6.4 [5.1-8.1]","6.3 [4.9-8.1]","3.0 [2.1-4.2]","4.1 [3.0-5.5]","1.0 [0.5-1.9]","1.8 [1.1-2.9]","6.2 [4.4-8.7]","10.0 [8.0-12.5]"
"Gabon","2000","DHS","27.7 [25.2-30.4]","23.7 [21.5-26.0]","8.1 [6.9-9.6]","10.0 [8.5-11.7]","2.4 [1.7-3.3]","6.1 [4.9-7.7]","0.8 [0.4-1.5]","2.3 [1.7-3.2]","4.5 [3.3-6.0]","6.8 [5.3-8.6]"
"Gambia","2018","MICS","20.5 [19.1-22.0]","16.5 [14.8-18.3]","14.6 [13.3-16.0]","12.8 [11.5-14.3]","5.8 [5.0-6.8]","6.7 [5.7-7.9]","0.7 [0.5-1.0]","1.5 [1.1-2.2]","0.5 [0.3-0.8]","2.4 [1.8-3.1]"
"Gambia","2013","DHS","27.2 [24.7-29.8]","21.3 [18.2-24.8]","17.2 [14.8-19.8]","15.7 [13.4-18.2]","7.8 [6.2-9.8]","15.1 [12.6-18.1]","2.6 [1.6-4.2]","6.5 [4.8-8.7]","2.5 [1.4-4.3]","4.1 [3.1-5.5]"
"Gambia","2010","MICS","25.7 [23.9-27.6]","20.6 [18.8-22.5]","17.4 [15.9-19.0]","17.4 [15.8-19.2]","7.6 [6.8-8.6]","11.9 [10.7-13.1]","1.0 [0.8-1.4]","3.3 [2.8-3.9]","0.8 [0.5-1.2]","3.3 [2.6-4.2]"
"Gambia","2005","MICS","31.2 [29.6-32.8]","23.7 [22.3-25.2]","15.2 [14.1-16.3]","16.5 [14.8-18.4]","4.4 [3.8-5.1]","10.7 [9.4-12.0]","0.7 [0.4-1.1]","3.1 [2.6-3.8]","1.8 [1.3-2.5]","3.7 [3.1-4.4]"
"Georgia","2018","MICS","7.0 [5.1-9.6]","3.6 [2.2-5.8]","1.9 [1.1-3.3]","2.4 [1.0-5.7]","0.1 [0.0-0.5]","1.5 [0.5-4.0]","0.1 [0.0-0.5]","","6.5 [5.0-8.2]","5.2 [3.4-8.0]"
"Georgia","2005","MICS","15.5 [12.8-18.5]","13.2 [10.7-16.3]","1.7 [1.0-2.8]","3.4 [2.2-5.2]","2.4 [1.6-3.6]","4.0 [2.5-6.1]","0.9 [0.4-1.8]","1.4 [0.6-3.0]","20.4 [17.5-23.6]","21.6 [18.5-25.0]"
"Ghana","2017","MICS","20.0 [18.0-22.1]","13.7 [12.1-15.3]","11.1 [9.9-12.4]","14.9 [13.0-17.0]","3.6 [3.0-4.2]","12.1 [10.4-14.1]","0.2 [0.1-0.4]","2.6 [1.8-3.7]","1.3 [0.9-1.9]","1.5 [1.0-2.2]"
"Ghana","2014","DHS","23.1 [20.6-25.8]","12.7 [10.7-15.0]","11.5 [9.5-13.8]","10.7 [8.9-12.7]","2.7 [1.8-4.1]","7.6 [5.7-10.0]","0.2 [0.1-0.6]","1.4 [0.8-2.4]","2.3 [1.6-3.4]","3.1 [2.0-4.7]"
"Ghana","2011","MICS","25.9 [23.8-28.1]","18.0 [15.9-20.2]","13.2 [11.7-14.7]","13.7 [12.1-15.4]","4.0 [3.3-4.9]","9.6 [8.2-11.2]","0.8 [0.4-1.4]","2.4 [1.6-3.4]","2.1 [1.5-2.9]","3.5 [2.5-4.9]"
"Ghana","2008","DHS","33.0 [30.2-35.9]","21.4 [18.7-24.4]","13.9 [12.1-15.8]","15.1 [13.1-17.4]","3.7 [2.8-4.9]","16.2 [14.1-18.5]","0.8 [0.5-1.4]","4.9 [3.7-6.5]","5.7 [4.4-7.2]","5.7 [4.2-7.8]"
"Ghana","2006","MICS","32.7 [29.6-35.9]","21.8 [18.9-25.0]","13.1 [11.3-15.2]","15.0 [12.7-17.6]","3.5 [2.7-4.6]","9.6 [7.6-11.9]","1.1 [0.7-1.8]","2.7 [1.9-3.9]","2.0 [1.4-2.9]","3.4 [2.5-4.6]"
"Ghana","2003","DHS","41.9 [39.4-44.3]","25.9 [23.4-28.5]","18.5 [16.8-20.3]","19.9 [17.6-22.5]","4.7 [3.6-6.0]","14.1 [12.4-16.0]","1.7 [1.1-2.8]","4.5 [3.5-5.9]","4.1 [3.2-5.1]","5.1 [3.9-6.6]"
"Ghana","1998","DHS","39.5 [36.7-42.4]","20.2 [17.8-22.8]","20.7 [18.5-23.2]","19.4 [17.0-22.0]","5.0 [4.0-6.3]","16.2 [14.1-18.6]","0.9 [0.5-1.7]","4.5 [3.4-5.8]","2.1 [1.4-3.1]","3.5 [2.5-4.8]"
"Guatemala","2014","DHS","49.5 [47.7-51.4]","42.4 [40.4-44.5]","12.7 [11.6-14.0]","11.8 [10.6-13.1]","0.6 [0.4-0.9]","1.0 [0.7-1.4]","0.2 [0.1-0.4]","0.1 [0.0-0.3]","3.3 [2.8-3.8]","7.5 [6.7-8.4]"
"Guatemala","2008","RHS","54.0 [51.5-56.5]","46.6 [45.0-48.1]","13.9 [12.8-15.1]","14.5 [12.3-17.1]","0.6 [0.4-1.0]","1.8 [1.2-2.8]","0.1 [0.0-0.4]","0.2 [0.1-0.5]","3.6 [3.1-4.2]","3.7 [2.9-4.8]"
"Guatemala","2002","RHS","58.5 [54.9-62.0]","48.4 [45.4-51.3]","19.0 [16.8-21.4]","16.8 [15.0-18.8]","1.0 [0.7-1.3]","3.6 [2.8-4.7]","0.3 [0.1-0.7]","1.8 [1.2-2.8]","4.3 [3.6-5.3]","6.6 [5.7-7.7]"
"Guatemala","1998","DHS","59.2 [53.5-64.7]","44.5 [39.1-50.0]","21.0 [17.7-24.6]","19.4 [15.3-24.3]","1.5 [0.9-2.4]","4.9 [3.3-7.2]","0.7 [0.4-1.5]","2.4 [1.4-4.1]","5.3 [4.1-6.9]","9.2 [7.3-11.6]"
"Guatemala","1995","DHS","63.7 [60.0-67.2]","44.9 [42.1-47.8]","23.9 [21.7-26.2]","19.0 [17.2-20.9]","2.8 [2.3-3.4]","5.1 [4.3-6.1]","1.1 [0.8-1.5]","2.0 [1.4-2.8]","4.4 [3.7-5.3]","8.5 [7.3-9.9]"
"Guinea","2018","DHS","31.9 [29.7-34.2]","27.7 [25.0-30.6]","16.3 [14.7-17.9]","16.3 [14.4-18.4]","8.3 [7.0-9.8]","10.8 [9.0-12.9]","3.3 [2.4-4.5]","4.2 [3.2-5.4]","4.9 [3.8-6.2]","7.0 [5.6-8.6]"
"Guinea","2016","MICS","35.8 [33.7-37.9]","27.1 [25.0-29.4]","19.0 [17.3-20.7]","17.2 [15.5-19.0]","6.1 [5.2-7.1]","11.3 [9.9-12.8]","2.1 [1.5-2.8]","4.4 [3.5-5.4]","3.4 [2.6-4.5]","4.9 [3.9-6.1]"
"Guinea","2012","DHS","38.7 [36.2-41.2]","19.9 [17.3-22.7]","20.2 [18.2-22.3]","16.6 [14.4-19.1]","6.0 [4.8-7.6]","15.8 [13.8-18.1]","2.2 [1.6-2.9]","6.9 [5.5-8.5]","3.4 [2.6-4.4]","4.3 [3.2-5.9]"
"Guinea","2005","DHS","49.2 [46.3-52.1]","26.9 [23.8-30.2]","24.7 [22.2-27.3]","20.3 [17.6-23.4]","6.4 [5.2-7.9]","16.4 [13.9-19.3]","2.1 [1.4-3.1]","6.7 [5.0-8.7]","3.9 [3.0-5.2]","7.0 [5.6-8.7]"
"Guinea","1999","DHS","38.1 [35.2-41.2]","24.7 [22.5-27.1]","17.8 [15.9-19.8]","22.0 [19.9-24.4]","4.5 [3.5-5.7]","15.7 [13.9-17.7]","1.6 [1.0-2.4]","6.7 [5.5-8.1]","3.9 [3.0-4.9]","5.3 [4.3-6.5]"
"Guinea-Bissau","2018","MICS","29.2 [27.2-31.2]","25.3 [23.3-27.5]","16.9 [15.5-18.4]","15.3 [13.8-16.8]","4.5 [3.8-5.4]","6.0 [5.1-7.2]","0.7 [0.4-1.1]","1.5 [1.1-2.2]","1.7 [1.3-2.3]","3.8 [3.1-4.8]"
"Guinea-Bissau","2014","MICS","31.4 [29.2-33.6]","22.4 [20.5-24.5]","18.8 [17.0-20.6]","14.7 [13.1-16.3]","5.2 [4.4-6.0]","7.2 [6.2-8.3]","1.1 [0.8-1.6]","1.8 [1.2-2.7]","1.4 [1.0-1.8]","3.7 [2.9-4.6]"
"Guyana","2014","MICS","11.4 [9.3-13.9]","11.1 [8.7-14.1]","8.7 [7.1-10.5]","7.5 [5.6-10.0]","6.5 [5.1-8.2]","6.4 [4.9-8.3]","1.6 [1.1-2.4]","1.8 [1.2-2.8]","5.5 [4.2-7.2]","4.9 [3.5-6.8]"
"Guyana","2009","DHS","18.4 [15.2-22.1]","20.7 [17.3-24.5]","9.5 [7.4-12.3]","13.2 [10.5-16.6]","4.4 [3.1-6.4]","7.1 [4.9-10.0]","0.6 [0.3-1.5]","2.2 [1.2-4.1]","5.8 [4.2-8.0]","8.4 [5.8-11.9]"
"Guyana","2006","MICS","16.9 [14.2-19.9]","19.9 [16.4-23.9]","10.1 [8.2-12.4]","11.9 [9.4-14.9]","7.0 [5.2-9.4]","10.9 [8.5-13.9]","1.4 [0.8-2.6]","4.8 [3.3-7.1]","5.6 [3.9-8.0]","8.9 [6.8-11.7]"
"Haiti","2016","DHS","24.6 [22.7-26.5]","17.6 [15.7-19.6]","9.2 [8.1-10.4]","10.0 [8.5-11.6]","2.2 [1.7-2.8]","6.3 [5.2-7.6]","0.4 [0.2-0.9]","1.5 [0.9-2.3]","2.8 [2.2-3.5]","4.3 [3.5-5.4]"
"Haiti","2012","DHS","26.4 [24.0-28.8]","16.2 [14.1-18.5]","11.8 [10.2-13.6]","11.4 [9.8-13.3]","3.5 [2.7-4.4]","7.4 [6.1-8.9]","1.0 [0.6-1.6]","1.6 [1.1-2.5]","2.9 [2.1-4.0]","4.6 [3.6-5.9]"
"Haiti","2005","DHS","32.6 [29.6-35.8]","25.2 [22.4-28.1]","18.9 [16.7-21.4]","18.8 [16.4-21.4]","8.8 [6.8-11.2]","12.4 [9.8-15.7]","3.0 [2.2-4.2]","3.7 [2.5-5.3]","2.6 [1.8-3.6]","5.9 [4.6-7.6]"
"Haiti","2000","DHS","33.8 [30.6-37.2]","21.4 [18.6-24.5]","14.9 [12.5-17.7]","12.4 [9.9-15.5]","3.4 [2.5-4.6]","8.7 [7.4-10.3]","1.2 [0.8-1.7]","2.0 [1.5-2.8]","2.0 [1.4-2.8]","4.6 [3.4-6.3]"
"Haiti","1994","DHS","44.4 [41.1-47.7]","28.0 [25.2-31.0]","26.7 [24.1-29.6]","20.1 [17.9-22.6]","6.6 [5.5-7.9]","12.8 [11.2-14.7]","1.8 [1.2-2.6]","4.7 [3.6-6.3]","2.6 [1.8-3.8]","6.5 [4.7-8.7]"
"Honduras","2011","DHS","27.2 [25.6-28.8]","16.5 [15.2-17.8]","7.9 [7.1-8.7]","6.1 [5.4-6.9]","0.9 [0.7-1.2]","2.0 [1.6-2.5]","0.1 [0.0-0.2]","0.6 [0.4-0.9]","4.7 [4.1-5.3]","5.8 [5.0-6.7]"
"Honduras","2005","DHS","34.1 [32.6-35.6]","22.5 [21.1-24.0]","9.5 [8.6-10.4]","7.2 [6.4-8.1]","0.9 [0.7-1.2]","2.1 [1.7-2.7]","0.3 [0.2-0.4]","0.4 [0.3-0.8]","5.1 [4.4-5.8]","7.0 [6.0-8.0]"
"Honduras","2001","RHS","42.4 [39.8-45.1]","24.7 [22.4-27.1]","14.4 [12.8-16.1]","10.3 [8.9-11.9]","0.8 [0.5-1.1]","2.0 [1.5-2.7]","0.1 [0.0-0.3]","0.3 [0.2-0.7]","2.5 [2.0-3.0]","3.8 [3.1-4.7]"
"Honduras","1991","RHS","51.5 [48.4-54.6]","31.5 [29.1-34.1]","16.2 [14.4-18.2]","13.4 [11.8-15.2]","1.5 [1.1-2.0]","3.6 [2.9-4.5]","0.2 [0.1-0.4]","0.9 [0.6-1.4]","2.5 [1.9-3.2]","3.6 [3.0-4.4]"
"India","2015","DHS","41.4 [41.0-41.8]","32.6 [32.1-33.0]","38.7 [38.3-39.1]","32.6 [32.2-33.1]","18.0 [17.6-18.3]","25.1 [24.7-25.6]","6.1 [5.9-6.4]","10.0 [9.7-10.3]","1.8 [1.6-1.9]","3.4 [3.3-3.6]"
"India","2005","DHS","53.1 [52.1-54.1]","39.5 [38.4-40.6]","46.1 [45.1-47.1]","39.6 [38.5-40.6]","16.0 [15.4-16.7]","26.3 [25.4-27.3]","4.8 [4.5-5.2]","9.9 [9.2-10.5]","1.3 [1.2-1.6]","2.8 [2.5-3.2]"
"Iraq","2018","MICS","13.4 [11.7-15.2]","11.4 [10.0-13.0]","3.6 [2.9-4.4]","4.6 [3.9-5.3]","1.7 [1.4-2.2]","5.2 [4.5-6.0]","0.5 [0.3-0.7]","1.6 [1.2-2.1]","5.4 [4.5-6.4]","7.2 [6.1-8.4]"
"Iraq","2011","MICS","21.1 [20.1-22.2]","23.3 [22.2-24.6]","6.1 [5.6-6.8]","8.7 [8.0-9.5]","4.9 [4.4-5.6]","8.7 [7.9-9.5]","1.9 [1.6-2.3]","3.7 [3.2-4.2]","10.2 [9.4-11.1]","13.0 [12.0-14.0]"
"Iraq","2006","MICS","27.8 [26.5-29.2]","27.0 [25.5-28.5]","5.8 [5.2-6.5]","8.8 [8.0-9.7]","4.7 [4.1-5.3]","7.2 [6.5-8.1]","1.9 [1.6-2.3]","3.9 [3.4-4.5]","13.6 [12.5-14.7]","16.9 [15.7-18.2]"
"Jordan","2012","DHS","6.6 [5.6-7.8]","9.6 [7.8-11.9]","2.9 [2.1-3.9]","3.2 [2.2-4.7]","2.4 [1.7-3.3]","2.5 [1.7-3.7]","0.4 [0.2-0.9]","1.0 [0.6-1.9]","3.3 [2.6-4.2]","7.1 [5.4-9.1]"
"Jordan","2002","DHS","12.1 [10.7-13.6]","11.1 [9.4-13.0]","4.0 [3.3-4.8]","3.4 [2.5-4.5]","1.7 [1.2-2.4]","3.5 [2.5-5.0]","0.6 [0.3-1.1]","1.1 [0.6-2.0]","3.5 [2.7-4.5]","5.9 [4.8-7.2]"
"Jordan","1997","DHS","11.2 [10.1-12.5]","10.8 [9.4-12.4]","3.7 [3.1-4.5]","4.0 [3.1-5.1]","1.9 [1.4-2.4]","3.1 [2.4-4.0]","0.6 [0.4-1.0]","0.6 [0.3-1.0]","3.1 [2.5-3.7]","6.2 [5.3-7.2]"
"Kazakhstan","2015","MICS","8.6 [7.4-10.0]","7.1 [5.6-9.0]","1.8 [1.3-2.6]","2.1 [1.5-3.0]","1.8 [1.4-2.5]","5.1 [4.0-6.5]","0.6 [0.4-0.9]","1.8 [1.2-2.6]","8.3 [6.8-10.0]","11.0 [9.1-13.3]"
"Kazakhstan","2010","MICS","11.5 [10.1-13.0]","15.4 [13.5-17.6]","2.8 [2.2-3.7]","4.8 [3.8-6.1]","3.1 [2.4-4.1]","5.4 [4.2-6.9]","1.2 [0.8-1.8]","2.3 [1.6-3.4]","11.5 [9.9-13.2]","16.0 [14.2-18.0]"
"Kazakhstan","2006","MICS","17.9 [16.0-19.9]","16.9 [14.9-19.1]","4.3 [3.5-5.4]","5.6 [4.5-7.1]","4.6 [3.6-5.7]","5.3 [4.3-6.7]","2.3 [1.7-3.2]","2.3 [1.6-3.2]","14.7 [13.0-16.5]","20.0 [18.0-22.2]"
"Kazakhstan","1999","DHS","13.9 [9.9-19.2]","12.0 [8.2-17.3]","3.0 [1.2-7.0]","5.1 [2.4-10.4]","1.8 [0.8-3.8]","3.4 [1.5-7.3]","0.7 [0.2-2.3]","1.5 [0.5-4.5]","4.3 [2.5-7.2]","6.0 [3.3-10.7]"
"Kenya","2014","DHS","28.6 [27.4-29.8]","22.5 [21.3-23.8]","12.5 [11.5-13.5]","9.3 [8.5-10.2]","3.4 [2.9-4.0]","5.4 [4.8-6.1]","0.6 [0.5-0.8]","1.6 [1.2-2.0]","2.5 [2.2-2.9]","6.7 [6.0-7.5]"
"Kenya","2008","DHS","37.2 [34.4-40.0]","33.0 [29.6-36.6]","18.4 [16.2-20.8]","13.7 [11.6-16.1]","5.9 [4.9-7.2]","8.4 [6.9-10.1]","1.7 [1.2-2.4]","2.7 [2.0-3.7]","2.8 [2.1-3.7]","8.2 [6.9-9.7]"
"Kenya","2003","DHS","39.4 [37.0-41.8]","31.1 [28.8-33.6]","17.2 [15.3-19.2]","15.5 [13.8-17.3]","4.6 [3.5-6.0]","8.4 [7.1-9.8]","1.7 [1.2-2.2]","3.4 [2.7-4.2]","3.8 [3.1-4.7]","8.4 [7.1-9.8]"
"Kenya","1993","DHS","45.5 [43.0-48.0]","32.8 [30.7-35.1]","19.9 [18.0-21.9]","18.8 [16.8-20.9]","4.9 [4.1-5.9]","9.5 [7.8-11.6]","1.8 [1.3-2.5]","3.6 [2.4-5.3]","4.7 [3.8-5.7]","7.7 [6.4-9.2]"
"Kiribati","2018","MICS","19.0 [16.7-21.5]","10.1 [8.2-12.3]","6.0 [4.7-7.6]","8.3 [6.3-10.8]","1.6 [1.0-2.6]","6.2 [4.7-8.1]","0.7 [0.3-1.7]","2.1 [1.3-3.4]","1.5 [0.9-2.5]","3.0 [1.9-4.8]"
"Kyrgyzstan","2018","MICS","12.3 [10.5-14.5]","10.8 [9.0-12.9]","1.4 [0.9-2.2]","2.6 [1.5-4.2]","1.4 [0.8-2.3]","3.1 [2.1-4.4]","0.4 [0.2-1.1]","1.1 [0.5-2.3]","5.6 [4.5-6.9]","9.0 [7.1-11.3]"
"Kyrgyzstan","2014","MICS","14.6 [12.9-16.4]","10.7 [9.0-12.6]","3.2 [2.4-4.2]","2.3 [1.6-3.2]","2.4 [1.7-3.4]","3.5 [2.6-4.6]","0.7 [0.4-1.3]","1.0 [0.6-1.9]","5.1 [4.1-6.4]","9.6 [8.0-11.4]"
"Kyrgyzstan","2012","DHS","20.3 [18.0-22.8]","14.6 [12.4-17.3]","4.2 [3.2-5.4]","3.3 [2.3-4.6]","2.1 [1.4-3.0]","3.9 [2.9-5.1]","1.1 [0.6-1.8]","1.5 [1.0-2.2]","6.8 [5.6-8.2]","11.6 [9.9-13.5]"
