,,,"Stunting prevalence in children aged < 5 years (%)","Stunting prevalence in children aged < 5 years (%)","Underweight prevalence in children aged < 5 years (%)","Underweight prevalence in children aged < 5 years (%)","Wasting prevalence in children aged < 5 years (%)","Wasting prevalence in children aged < 5 years (%)","Severe wasting prevalence in children aged < 5 years (%)","Severe wasting prevalence in children aged < 5 years (%)","Overweight prevalence in children aged < 5 years (%)","Overweight prevalence in children aged < 5 years (%)"
"Kyrgyzstan","2005","MICS","21.2 [17.9-25.0]","13.8 [11.1-17.0]","3.1 [2.1-4.6]","2.1 [1.3-3.3]","2.7 [1.6-4.3]","4.3 [2.9-6.4]","0.7 [0.4-1.3]","1.5 [0.8-2.6]","8.6 [6.6-11.0]","13.6 [10.9-16.8]"
"Lao People's Democratic Republic","2017","MICS","37.8 [36.1-39.7]","25.4 [23.8-27.1]","24.0 [22.6-25.4]","16.6 [15.3-18.1]","8.3 [7.5-9.3]","10.1 [9.1-11.2]","2.9 [2.4-3.4]","3.1 [2.5-3.8]","2.9 [2.4-3.5]","4.5 [3.8-5.3]"
"Lao People's Democratic Republic","2011","MICS","52.1 [50.0-54.2]","32.3 [30.4-34.2]","30.9 [29.0-32.7]","20.2 [18.4-22.2]","5.2 [4.5-6.0]","7.0 [6.2-8.0]","1.1 [0.8-1.5]","1.9 [1.5-2.4]","1.3 [1.1-1.7]","3.1 [2.5-3.8]"
"Lao People's Democratic Republic","2006","MICS","55.1 [52.2-58.0]","36.7 [34.0-39.5]","35.7 [33.0-38.5]","25.6 [22.8-28.6]","5.3 [4.3-6.4]","10.6 [8.8-12.8]","1.3 [0.9-1.9]","2.2 [1.6-3.0]","0.7 [0.4-1.2]","2.2 [1.5-3.1]"
"Lesotho","2018","MICS","34.6 [32.1-37.2]","34.6 [31.2-38.1]","10.2 [8.7-11.8]","11.0 [8.9-13.5]","1.6 [1.0-2.4]","2.9 [1.9-4.3]","0.6 [0.3-1.1]","1.1 [0.6-2.3]","4.7 [3.7-6.0]","9.6 [7.9-11.7]"
"Lesotho","2014","DHS","37.6 [34.4-41.0]","26.4 [22.8-30.4]","10.6 [8.7-12.9]","10.4 [7.9-13.6]","1.4 [0.9-2.4]","5.2 [3.7-7.2]","0.2 [0.1-0.6]","1.3 [0.7-2.4]","4.7 [3.4-6.3]","12.3 [9.7-15.5]"
"Lesotho","2009","DHS","44.9 [41.7-48.2]","31.0 [27.6-34.7]","13.8 [11.9-15.9]","12.9 [10.5-15.8]","2.5 [1.7-3.6]","5.8 [4.4-7.6]","0.9 [0.5-1.6]","2.5 [1.6-3.8]","4.7 [3.6-6.3]","11.2 [8.8-14.0]"
"Lesotho","2004","DHS","50.1 [46.4-53.9]","36.6 [32.7-40.7]","19.2 [16.7-22.0]","12.8 [10.5-15.5]","4.0 [2.9-5.7]","8.1 [6.0-10.8]","1.6 [1.0-2.6]","3.3 [2.1-5.0]","4.9 [3.6-6.6]","9.6 [7.5-12.3]"
"Liberia","2013","DHS","38.4 [35.1-41.8]","23.1 [20.1-26.4]","15.2 [13.2-17.3]","15.6 [12.9-18.7]","3.2 [2.3-4.2]","9.2 [7.2-11.6]","1.1 [0.7-1.8]","3.2 [2.3-4.5]","2.7 [1.9-3.8]","3.9 [2.8-5.5]"
"Liberia","2007","DHS","47.9 [45.4-50.3]","27.1 [24.4-29.9]","20.6 [18.5-22.9]","20.0 [17.7-22.7]","4.9 [3.9-6.3]","12.4 [10.5-14.5]","2.1 [1.5-3.0]","4.4 [3.4-5.7]","4.1 [3.3-5.0]","4.1 [3.1-5.4]"
"Madagascar","2018","MICS","46.0 [44.2-47.7]","35.6 [33.9-37.3]","29.2 [27.8-30.7]","22.4 [21.1-23.8]","5.5 [4.9-6.2]","7.7 [6.8-8.6]","0.6 [0.4-0.8]","1.5 [1.1-2.0]","0.4 [0.2-0.7]","2.9 [2.3-3.5]"
"Madagascar","2008","DHS","54.2 [51.5-56.7]","41.7 [38.8-44.6]","","","","","","","",""
"Madagascar","2003","DHS","57.0 [53.3-60.5]","46.9 [43.5-50.3]","40.0 [36.9-43.2]","32.4 [29.0-36.0]","12.3 [10.6-14.2]","19.0 [16.1-22.3]","4.3 [3.3-5.6]","7.4 [5.5-9.9]","3.7 [2.6-5.2]","9.9 [7.5-13.0]"
"Malawi","2015","DHS","41.0 [38.9-43.2]","31.5 [29.1-33.9]","13.1 [11.8-14.5]","9.7 [8.2-11.3]","2.3 [1.7-3.0]","3.6 [2.9-4.6]","0.6 [0.3-1.0]","0.7 [0.4-1.2]","2.7 [2.1-3.6]","7.6 [6.3-9.2]"
"Malawi","2013","MICS","46.7 [45.1-48.4]","35.6 [33.8-37.4]","17.5 [16.3-18.7]","15.5 [14.4-16.7]","2.7 [2.3-3.2]","5.6 [4.9-6.3]","0.6 [0.4-0.8]","1.8 [1.4-2.2]","3.8 [3.2-4.4]","7.2 [6.3-8.1]"
"Malawi","2010","DHS","51.5 [49.0-53.9]","41.2 [38.6-43.9]","14.3 [12.7-16.0]","13.3 [11.4-15.4]","2.4 [1.7-3.3]","6.5 [5.2-7.9]","0.8 [0.5-1.4]","2.6 [1.9-3.6]","7.0 [6.0-8.3]","11.9 [10.1-14.0]"
"Malawi","2006","MICS","58.7 [57.3-60.2]","45.8 [44.4-47.1]","16.0 [15.2-16.9]","15.1 [13.2-17.2]","2.5 [2.1-3.1]","6.3 [5.4-7.3]","0.9 [0.5-1.5]","2.4 [1.9-2.9]","10.6 [9.7-11.6]","12.2 [11.2-13.2]"
"Malawi","2004","DHS","57.9 [56.1-59.7]","45.7 [43.9-47.4]","19.2 [17.8-20.6]","17.9 [16.4-19.5]","4.4 [3.8-5.2]","8.7 [7.6-10.0]","2.3 [1.9-2.9]","4.3 [3.4-5.3]","8.9 [8.0-9.9]","11.8 [10.7-13.0]"
"Malawi","2000","DHS","63.8 [62.2-65.4]","42.9 [40.9-44.9]","20.6 [19.3-22.0]","22.7 [21.1-24.3]","3.2 [2.7-3.7]","11.6 [10.3-13.0]","1.5 [1.2-1.9]","4.6 [3.8-5.5]","9.2 [8.1-10.5]","8.4 [7.5-9.3]"
"Maldives","2016","DHS","11.9 [10.1-14.0]","20.9 [17.8-24.4]","15.5 [13.2-18.0]","13.7 [11.1-16.8]","10.4 [8.6-12.4]","6.8 [5.0-9.3]","1.6 [1.1-2.4]","2.5 [1.4-4.3]","5.2 [3.9-6.8]","4.5 [3.3-6.2]"
"Maldives","2009","DHS","17.0 [14.6-19.6]","21.5 [18.9-24.5]","19.8 [17.5-22.2]","15.4 [13.3-17.7]","11.0 [9.4-12.9]","10.1 [8.3-12.2]","2.0 [1.3-3.0]","3.5 [2.6-4.7]","6.5 [5.2-8.2]","5.9 [4.6-7.6]"
"Mali","2018","DHS","30.3 [28.6-32.2]","22.1 [20.5-23.8]","17.6 [16.2-19.1]","20.0 [18.5-21.5]","5.9 [5.1-6.9]","13.3 [12.0-14.7]","1.5 [1.1-2.0]","4.1 [3.3-4.9]","1.8 [1.4-2.3]","2.2 [1.8-2.7]"
"Mali","2015","MICS","33.4 [31.6-35.2]","26.3 [24.8-27.9]","24.3 [23.0-25.8]","25.9 [24.4-27.4]","10.5 [9.6-11.4]","18.2 [16.8-19.7]","2.2 [1.9-2.7]","5.1 [4.5-5.8]","1.4 [1.0-1.8]","2.9 [2.4-3.5]"
"Mali","2009","MICS","30.9 [29.4-32.3]","24.2 [23.0-25.5]","16.5 [15.5-17.6]","21.7 [20.5-22.9]","4.8 [4.3-5.3]","13.7 [12.8-14.6]","0.7 [0.5-0.9]","3.4 [3.0-3.8]","0.8 [0.7-1.1]","1.2 [0.9-1.6]"
"Mali","2006","DHS","43.8 [41.7-45.9]","29.7 [28.1-31.4]","28.9 [27.2-30.5]","26.8 [24.9-28.7]","9.6 [8.6-10.6]","23.1 [21.8-24.5]","3.5 [2.9-4.1]","9.6 [8.7-10.5]","4.1 [3.3-5.0]","5.5 [4.7-6.5]"
"Mali","2001","DHS","51.8 [49.6-54.0]","30.7 [28.8-32.7]","31.7 [29.7-33.8]","27.8 [25.8-29.9]","8.1 [7.0-9.5]","18.5 [16.7-20.6]","2.8 [2.2-3.7]","6.1 [5.3-7.1]","3.3 [2.7-4.1]","2.8 [2.2-3.6]"
"Mauritania","2015","MICS","32.1 [30.2-34.1]","21.4 [19.7-23.3]","25.9 [24.3-27.7]","23.2 [21.5-25.0]","12.8 [11.6-14.1]","17.9 [16.4-19.5]","2.4 [2.0-2.9]","5.2 [4.4-6.1]","1.2 [0.9-1.6]","1.4 [1.0-1.9]"
"Mauritania","2011","MICS","35.6 [33.7-37.6]","21.5 [19.8-23.2]","26.9 [25.1-28.8]","20.9 [19.2-22.7]","10.7 [9.6-11.9]","18.1 [16.7-19.7]","2.4 [2.0-3.0]","6.0 [5.2-6.9]","3.1 [2.5-3.7]","3.5 [2.8-4.3]"
"Mauritania","2007","MICS","38.0 [36.1-39.9]","22.6 [20.9-24.5]","28.6 [26.9-30.5]","21.2 [19.4-23.0]","10.4 [9.5-11.5]","17.7 [16.1-19.4]","2.6 [2.1-3.1]","5.5 [4.7-6.6]","2.2 [1.8-2.7]","2.5 [2.0-3.3]"
"Mexico","2015","MICS","11.6 [9.5-14.1]","13.7 [11.5-16.2]","3.3 [2.4-4.6]","4.8 [3.7-6.2]","0.9 [0.4-1.7]","1.3 [0.9-2.0]","0.5 [0.1-1.6]","0.2 [0.1-1.0]","5.8 [4.5-7.4]","4.2 [3.3-5.3]"
"Mongolia","2018","MICS","10.9 [9.2-12.8]","7.1 [5.7-8.8]","1.9 [1.4-2.7]","1.7 [1.1-2.7]","0.6 [0.4-0.9]","1.5 [0.9-2.4]","0.2 [0.1-0.4]","0.6 [0.3-1.0]","9.0 [7.4-10.9]","12.9 [11.1-15.1]"
"Mongolia","2013","MICS","12.6 [11.3-14.0]","8.3 [7.1-9.6]","1.5 [1.1-2.0]","1.7 [1.2-2.3]","0.5 [0.3-0.8]","1.8 [1.3-2.4]","0.2 [0.1-0.4]","0.6 [0.4-1.1]","8.1 [7.2-9.2]","13.9 [12.5-15.5]"
"Mongolia","2010","MICS","15.8 [14.0-17.9]","14.6 [12.7-16.9]","3.2 [2.3-4.3]","3.5 [2.5-4.8]","1.2 [0.7-1.9]","2.1 [1.4-3.2]","0.4 [0.2-1.0]","1.0 [0.5-1.8]","7.8 [6.4-9.4]","14.4 [12.3-16.9]"
"Mongolia","2005","MICS","30.6 [28.2-33.1]","23.4 [21.1-25.8]","5.9 [4.8-7.2]","4.5 [3.5-5.9]","2.1 [1.6-2.9]","3.5 [2.6-4.7]","1.2 [0.8-1.8]","1.1 [0.7-1.7]","10.5 [9.0-12.2]","19.0 [16.7-21.6]"
"Montenegro","2018","MICS","6.0 [3.2-11.2]","9.0 [3.2-23.0]","0.4 [0.1-1.9]","8.5 [2.9-22.5]","1.5 [0.7-3.1]","3.3 [1.6-6.7]","0.4 [0.1-1.5]","0.7 [0.2-2.4]","7.1 [4.5-11.1]","7.5 [4.7-11.7]"
"Montenegro","2013","MICS","8.8 [6.2-12.4]","10.5 [6.4-16.8]","0.6 [0.3-1.5]","1.6 [0.6-4.2]","2.1 [1.1-4.0]","4.0 [2.5-6.5]","0.6 [0.2-1.9]","2.2 [1.1-4.3]","21.7 [17.3-26.9]","23.3 [18.0-29.6]"
"Montenegro","2005","MICS","6.5 [4.3-9.7]","10.7 [7.7-14.9]","2.0 [1.0-4.0]","2.6 [1.3-5.2]","3.8 [1.9-7.3]","5.1 [2.8-9.1]","1.8 [0.7-4.1]","2.9 [1.4-5.7]","12.4 [9.8-15.5]","21.8 [17.1-27.4]"
"Morocco","2003","DHS","23.2 [21.4-25.0]","23.0 [20.9-25.1]","11.2 [10.1-12.4]","7.8 [6.7-9.1]","11.1 [9.9-12.4]","10.2 [8.9-11.6]","4.9 [4.2-5.8]","5.1 [4.1-6.2]","10.4 [9.3-11.6]","18.0 [16.2-19.8]"
"Mozambique","2011","DHS","45.9 [44.0-47.8]","39.0 [36.8-41.2]","14.5 [13.3-15.9]","17.0 [15.6-18.5]","3.5 [2.9-4.2]","9.7 [8.6-11.0]","1.3 [1.0-1.8]","3.8 [3.1-4.7]","6.1 [5.4-6.9]","10.2 [9.0-11.6]"
"Mozambique","2008","MICS","48.4 [46.3-50.5]","37.6 [35.5-39.7]","17.0 [15.6-18.5]","19.7 [18.0-21.5]","2.4 [1.8-3.2]","6.3 [5.3-7.4]","0.8 [0.5-1.3]","1.8 [1.4-2.4]","3.7 [3.1-4.4]","3.5 [2.9-4.2]"
"Mozambique","2003","DHS","53.2 [51.0-55.5]","38.5 [36.6-40.5]","20.5 [18.8-22.3]","22.1 [20.3-24.0]","3.6 [2.8-4.7]","7.9 [6.8-9.1]","1.6 [1.2-2.3]","2.8 [2.2-3.4]","6.0 [5.1-7.1]","6.7 [5.4-8.3]"
"Myanmar","2015","DHS","36.6 [34.3-39.0]","18.0 [15.8-20.6]","21.5 [19.5-23.6]","14.0 [12.2-16.1]","5.4 [4.4-6.6]","8.5 [7.0-10.4]","0.8 [0.5-1.3]","2.1 [1.4-3.1]","1.0 [0.6-1.7]","2.3 [1.5-3.4]"
"Namibia","2013","DHS","26.3 [23.9-28.9]","17.5 [15.0-20.3]","14.4 [12.4-16.6]","11.4 [9.4-13.8]","4.3 [3.3-5.6]","11.3 [9.3-13.7]","1.0 [0.6-1.7]","5.4 [3.9-7.4]","2.9 [2.0-4.3]","5.6 [4.3-7.3]"
"Namibia","2006","DHS","31.2 [29.0-33.5]","26.3 [24.3-28.5]","19.0 [17.3-20.9]","15.1 [13.4-16.9]","6.3 [5.5-7.2]","9.3 [7.8-11.0]","1.4 [1.0-1.8]","3.0 [2.3-4.0]","3.3 [2.6-4.2]","6.6 [5.4-8.2]"
"Namibia","2000","DHS","33.0 [29.9-36.2]","24.2 [21.4-27.3]","23.0 [20.0-26.2]","16.4 [13.9-19.1]","8.3 [6.7-10.1]","12.3 [10.7-14.1]","2.3 [1.6-3.3]","3.9 [3.1-5.0]","2.4 [1.7-3.3]","4.6 [3.5-6.1]"
"Nepal","2019","MICS","35.7 [33.5-38.0]","24.7 [22.6-26.9]","26.2 [23.9-28.6]","21.7 [19.5-24.0]","10.2 [9.0-11.5]","14.9 [13.1-17.0]","2.2 [1.7-2.7]","4.2 [3.2-5.5]","2.3 [1.7-3.1]","3.1 [2.3-4.1]"
"Nepal","2016","DHS","42.0 [39.0-45.0]","27.2 [23.6-31.0]","29.8 [27.1-32.7]","23.4 [20.1-27.2]","6.2 [5.0-7.6]","14.0 [11.8-16.7]","0.9 [0.5-1.6]","3.0 [2.1-4.4]","0.5 [0.3-1.0]","2.2 [1.4-3.4]"
"Nepal","2014","MICS","44.8 [41.8-47.7]","25.6 [22.7-28.6]","33.5 [30.8-36.2]","24.7 [21.9-27.7]","8.7 [7.3-10.3]","15.7 [13.3-18.3]","2.1 [1.5-2.9]","5.1 [3.8-6.7]","1.9 [1.2-3.2]","2.5 [1.7-3.5]"
"Nepal","2011","DHS","49.3 [45.9-52.7]","25.7 [22.3-29.4]","31.1 [28.1-34.3]","25.5 [22.3-29.1]","7.7 [6.1-9.7]","16.5 [13.4-20.2]","1.8 [1.2-2.9]","4.6 [3.2-6.6]","0.9 [0.5-1.7]","2.5 [1.5-4.2]"
"Nepal","2006","DHS","58.8 [56.3-61.3]","33.2 [30.1-36.5]","42.8 [40.2-45.4]","31.4 [27.9-35.1]","10.1 [8.6-11.8]","16.8 [14.7-19.2]","1.6 [1.3-2.2]","4.3 [3.3-5.6]","0.4 [0.2-0.8]","0.8 [0.4-1.6]"
"Nepal","2001","DHS","67.4 [65.1-69.5]","42.0 [39.2-45.0]","45.1 [42.8-47.5]","39.3 [36.5-42.3]","6.9 [5.7-8.3]","17.5 [15.7-19.3]","0.9 [0.6-1.4]","5.3 [4.3-6.5]","0.7 [0.4-1.1]","0.7 [0.4-1.2]"
"Nicaragua","2006","RHS","27.4 [24.8-30.2]","17.1 [15.2-19.2]","6.1 [5.1-7.2]","5.2 [4.2-6.5]","0.9 [0.6-1.4]","2.2 [1.6-3.0]","0.3 [0.1-0.6]","0.8 [0.5-1.3]","5.1 [4.3-6.1]","7.6 [6.5-8.9]"
"Nicaragua","2001","DHS","29.0 [27.1-30.9]","19.6 [17.9-21.3]","8.1 [7.1-9.2]","7.2 [6.0-8.5]","1.3 [0.9-1.9]","3.7 [2.7-5.0]","0.5 [0.3-0.9]","1.4 [1.0-2.1]","7.3 [6.3-8.5]","6.9 [5.9-8.1]"
"Nicaragua","1997","DHS","35.0 [33.1-36.9]","23.8 [22.0-25.6]","10.4 [9.2-11.7]","10.3 [9.0-11.7]","2.1 [1.5-2.8]","5.2 [4.2-6.5]","1.0 [0.7-1.4]","2.2 [1.6-3.0]","7.0 [6.1-8.0]","6.9 [5.9-8.0]"
"Niger","2012","DHS","51.1 [48.7-53.4]","32.1 [29.7-34.6]","39.4 [37.2-41.6]","35.8 [33.3-38.5]","13.7 [12.2-15.5]","25.1 [22.9-27.4]","4.8 [3.8-6.0]","9.5 [7.9-11.4]","2.1 [1.6-2.9]","4.5 [3.5-5.9]"
"Niger","2006","DHS","64.1 [61.5-66.6]","42.0 [38.9-45.3]","43.9 [41.4-46.5]","34.4 [31.2-37.7]","8.0 [6.9-9.2]","18.9 [16.3-21.8]","2.4 [1.8-3.2]","7.0 [5.4-9.1]","2.7 [2.0-3.7]","4.6 [3.4-6.1]"
"Nigeria","2018","DHS","41.5 [39.9-43.1]","30.0 [28.3-31.7]","21.8 [20.6-23.1]","21.7 [20.3-23.2]","4.1 [3.5-4.6]","10.8 [9.7-11.9]","0.9 [0.7-1.1]","3.0 [2.4-3.9]","1.6 [1.3-2.0]","2.7 [2.2-3.4]"
"Nigeria","2016","MICS","48.6 [46.9-50.2]","35.9 [34.5-37.4]","30.6 [29.1-32.1]","32.9 [31.4-34.4]","6.5 [6.0-7.1]","17.2 [16.0-18.5]","1.6 [1.3-1.9]","4.9 [4.2-5.6]","1.5 [1.2-1.7]","1.6 [1.3-1.9]"
"Nigeria","2011","MICS","42.5 [40.4-44.5]","26.6 [24.8-28.4]","24.5 [23.0-26.0]","23.9 [22.5-25.4]","5.9 [5.3-6.7]","16.3 [15.3-17.4]","1.9 [1.6-2.3]","4.8 [4.2-5.5]","2.8 [2.4-3.3]","3.2 [2.7-3.8]"
"Nigeria","2003","DHS","48.0 [45.2-50.8]","35.5 [32.6-38.5]","27.6 [24.7-30.7]","25.5 [22.9-28.2]","7.1 [5.8-8.7]","16.3 [14.1-18.8]","2.8 [1.9-4.0]","7.1 [5.9-8.6]","5.5 [4.5-6.7]","7.7 [6.4-9.3]"
"Pakistan","2017","DHS","44.8 [41.4-48.3]","27.1 [23.5-31.2]","26.0 [23.2-29.0]","18.9 [15.9-22.2]","4.8 [3.8-6.1]","10.5 [8.3-13.2]","1.3 [0.8-2.0]","4.1 [2.9-5.8]","2.1 [1.5-3.0]","3.0 [2.1-4.4]"
"Pakistan","2012","DHS","49.6 [46.3-52.9]","37.6 [34.0-41.3]","31.4 [27.9-35.1]","32.6 [29.1-36.2]","6.7 [4.9-9.2]","16.6 [13.6-20.1]","1.6 [1.0-2.5]","6.1 [4.5-8.3]","4.2 [3.1-5.7]","5.5 [4.2-7.2]"
"Paraguay","2016","MICS","4.7 [3.7-6.1]","6.8 [5.4-8.6]","0.8 [0.5-1.3]","2.0 [1.4-3.0]","0.5 [0.3-1.0]","1.6 [1.0-2.5]","0.2 [0.1-0.4]","0.7 [0.3-1.4]","11.9 [10.1-13.9]","13.3 [11.1-15.8]"
"Peru","2018","DHS","11.5 [10.8-12.2]","13.2 [12.4-14.2]","2.1 [1.8-2.4]","3.5 [3.0-4.0]","0.3 [0.2-0.4]","0.8 [0.5-1.0]","0.0 [0.0-0.1]","0.2 [0.1-0.3]","7.9 [7.3-8.5]","9.6 [8.8-10.5]"
"Peru","2017","DHS","12.3 [11.4-13.2]","13.7 [12.5-14.9]","2.5 [2.1-2.9]","4.3 [3.6-5.0]","0.3 [0.2-0.4]","0.9 [0.6-1.2]","0.0 [0.0-0.1]","0.2 [0.1-0.4]","7.7 [7.0-8.4]","8.6 [7.7-9.5]"
"Peru","2016","DHS","13.1 [12.2-14.1]","13.0 [12.0-14.0]","2.8 [2.4-3.2]","3.8 [3.3-4.4]","0.4 [0.3-0.5]","1.0 [0.7-1.3]","0.0 [0.0-0.1]","0.3 [0.2-0.6]","7.7 [7.1-8.5]","7.6 [6.8-8.5]"
"Peru","2015","DHS","14.7 [13.8-15.6]","14.7 [13.8-15.8]","2.8 [2.4-3.2]","4.3 [3.8-4.9]","0.4 [0.3-0.5]","1.0 [0.7-1.2]","0.0 [0.0-0.1]","0.2 [0.1-0.4]","8.1 [7.4-8.8]","8.4 [7.6-9.3]"
"Peru","2014","DHS","15.2 [13.9-16.6]","14.3 [12.9-15.8]","2.1 [1.7-2.5]","5.0 [4.2-5.9]","0.2 [0.1-0.4]","1.2 [0.8-1.7]","0.0 [0.0-0.0]","0.2 [0.1-0.4]","9.0 [7.9-10.2]","8.6 [7.4-9.9]"
"Peru","2013","DHS","17.3 [15.8-18.9]","18.1 [16.4-19.9]","3.1 [2.6-3.7]","4.4 [3.7-5.2]","0.2 [0.1-0.4]","0.7 [0.4-1.3]","0.1 [0.0-0.2]","0.4 [0.2-1.0]","8.1 [6.9-9.4]","9.0 [7.6-10.6]"
"Peru","2012","DHS","18.3 [17.1-19.7]","18.4 [16.7-20.2]","2.7 [2.3-3.2]","4.6 [3.9-5.5]","0.4 [0.3-0.7]","1.0 [0.6-1.5]","0.1 [0.0-0.2]","0.1 [0.0-0.3]","6.6 [5.8-7.6]","8.1 [6.8-9.5]"
"Peru","2011","DHS","19.5 [18.1-21.1]","19.6 [17.9-21.4]","3.8 [3.2-4.5]","4.9 [4.1-5.8]","0.3 [0.2-0.5]","0.5 [0.3-0.9]","0.0 [0.0-0.1]","0.2 [0.1-0.3]","7.9 [6.9-9.1]","10.3 [8.9-11.8]"
"Peru","2010","DHS","23.9 [22.3-25.4]","22.5 [20.8-24.2]","3.6 [3.0-4.3]","5.4 [4.6-6.3]","0.5 [0.3-0.8]","1.0 [0.7-1.4]","0.1 [0.1-0.4]","0.1 [0.1-0.4]","6.1 [5.2-7.1]","11.0 [9.5-12.6]"
"Peru","2009","DHS","25.3 [23.7-27.0]","21.7 [19.9-23.6]","4.0 [3.4-4.6]","4.8 [4.0-5.8]","0.4 [0.3-0.7]","0.8 [0.6-1.3]","0.2 [0.1-0.4]","0.3 [0.2-0.7]","8.1 [7.0-9.3]","13.6 [12.1-15.4]"
"Peru","2007","DHS","29.3 [27.3-31.4]","25.8 [23.6-28.2]","4.3 [3.6-5.1]","4.4 [3.6-5.3]","0.7 [0.4-1.1]","1.0 [0.6-1.6]","0.2 [0.1-0.4]","0.1 [0.0-0.3]","7.7 [6.6-9.0]","13.6 [11.8-15.6]"
"Peru","2005","DHS","34.0 [30.5-37.8]","22.6 [19.1-26.6]","6.1 [4.6-8.1]","4.4 [3.1-6.1]","1.0 [0.5-2.0]","1.1 [0.5-2.2]","0.0 [0.0-0.3]","0.2 [0.0-1.5]","7.4 [5.6-9.6]","11.5 [9.1-14.6]"
"Peru","2000","DHS","36.1 [34.5-37.8]","23.8 [22.3-25.4]","5.2 [4.6-5.8]","5.2 [4.5-6.0]","0.8 [0.6-1.1]","1.6 [1.3-2.1]","0.4 [0.2-0.6]","0.5 [0.3-0.8]","10.8 [9.8-11.9]","13.4 [12.1-14.9]"
"Peru","1996","DHS","35.8 [34.3-37.4]","25.4 [23.9-27.0]","5.4 [4.9-6.0]","6.0 [5.4-6.8]","1.0 [0.8-1.3]","2.5 [2.1-3.0]","0.5 [0.4-0.8]","1.0 [0.8-1.4]","8.9 [8.1-9.8]","11.4 [10.3-12.6]"
"Republic of Moldova","2012","MICS","7.3 [5.7-9.3]","5.3 [3.7-7.5]","2.4 [1.5-3.8]","1.9 [1.1-3.3]","1.6 [0.9-2.8]","2.3 [1.3-4.2]","0.2 [0.0-0.8]","0.8 [0.2-2.5]","3.4 [2.4-4.9]","6.7 [5.0-9.1]"
"Republic of Moldova","2005","DHS","10.5 [8.4-13.1]","10.9 [8.6-13.7]","4.0 [2.9-5.6]","1.9 [1.0-3.5]","4.9 [3.5-6.8]","6.9 [5.0-9.6]","1.5 [0.9-2.6]","3.7 [2.2-6.0]","7.6 [5.7-10.1]","10.5 [8.0-13.7]"
