,,,"Stunting prevalence in children aged < 5 years (%)","Stunting prevalence in children aged < 5 years (%)","Underweight prevalence in children aged < 5 years (%)","Underweight prevalence in children aged < 5 years (%)","Wasting prevalence in children aged < 5 years (%)","Wasting prevalence in children aged < 5 years (%)","Severe wasting prevalence in children aged < 5 years (%)","Severe wasting prevalence in children aged < 5 years (%)","Overweight prevalence in children aged < 5 years (%)","Overweight prevalence in children aged < 5 years (%)"
"North Macedonia","2018","MICS","3.6 [2.2-5.7]","5.6 [3.2-9.4]","0.9 [0.4-2.5]","0.7 [0.3-1.9]","1.3 [0.4-3.7]","6.9 [4.0-11.6]","","1.4 [0.5-4.0]","13.2 [10.2-17.1]","7.6 [5.1-11.3]"
"North Macedonia","2011","MICS","4.8 [3.3-6.7]","5.3 [3.4-8.1]","1.1 [0.6-2.2]","1.5 [0.8-2.9]","0.7 [0.3-1.6]","3.6 [1.7-7.6]","0.2 [0.0-1.4]","0.3 [0.1-1.2]","15.1 [12.4-18.2]","8.3 [5.2-13.0]"
"North Macedonia","2005","MICS","9.4 [7.6-11.6]","14.8 [10.8-20.0]","1.6 [1.1-2.3]","2.2 [0.8-5.8]","1.1 [0.7-1.6]","7.6 [4.1-13.6]","0.4 [0.2-0.8]","2.9 [1.0-7.6]","15.5 [13.1-18.3]","17.3 [12.7-23.0]"
"Rwanda","2014","DHS","43.2 [40.8-45.5]","31.2 [28.8-33.7]","10.1 [8.9-11.6]","8.8 [7.5-10.3]","1.0 [0.7-1.6]","4.0 [3.2-5.1]","0.3 [0.1-0.6]","1.2 [0.7-1.9]","5.8 [4.9-6.8]","11.1 [9.5-12.9]"
"Rwanda","2010","DHS","49.7 [47.5-51.9]","35.3 [32.9-37.7]","11.9 [10.6-13.3]","11.4 [9.9-13.2]","1.7 [1.2-2.3]","5.0 [4.0-6.2]","0.4 [0.2-0.7]","1.8 [1.3-2.6]","5.9 [5.0-6.9]","8.7 [7.3-10.3]"
"Rwanda","2005","DHS","59.5 [57.1-61.9]","40.1 [37.7-42.5]","17.1 [15.5-18.9]","19.0 [17.0-21.2]","2.8 [2.2-3.6]","7.6 [6.4-9.1]","1.0 [0.6-1.4]","2.5 [1.8-3.5]","6.4 [5.3-7.6]","7.1 [5.9-8.6]"
"Rwanda","2000","DHS","56.8 [54.9-58.8]","36.0 [34.0-38.1]","20.2 [18.7-21.9]","20.3 [18.7-22.1]","5.5 [4.6-6.6]","13.1 [11.6-14.6]","2.4 [1.8-3.1]","5.9 [4.9-7.0]","6.7 [5.9-7.7]","7.9 [6.8-9.1]"
"Saint Lucia","2012","MICS","1.7 [0.7-4.6]","3.9 [1.2-11.5]","1.0 [0.2-4.6]","6.0 [2.5-13.7]","2.1 [0.7-6.3]","6.6 [2.9-14.2]","0.0 [0.0-0.0]","1.9 [0.4-8.6]","5.5 [2.5-11.3]","7.9 [3.3-17.4]"
"Sao Tome and Principe","2019","MICS","12.4 [10.2-14.9]","10.7 [8.4-13.5]","5.2 [3.8-7.1]","5.8 [4.2-7.9]","3.5 [2.3-5.1]","5.2 [3.7-7.3]","1.1 [0.6-1.9]","1.9 [1.1-3.4]","3.2 [2.2-4.6]","6.7 [4.8-9.2]"
"Sao Tome and Principe","2014","MICS","17.6 [15.3-20.2]","16.5 [13.5-19.9]","6.6 [5.1-8.6]","12.2 [9.7-15.1]","2.4 [1.6-3.6]","6.6 [4.9-8.8]","0.4 [0.2-1.1]","1.3 [0.7-2.6]","2.1 [1.3-3.3]","2.9 [1.7-4.9]"
"Senegal","2017","DHS","18.1 [16.8-19.4]","14.2 [13.1-15.4]","15.5 [14.4-16.7]","12.9 [11.8-14.1]","8.4 [7.6-9.3]","9.9 [8.9-10.9]","1.0 [0.7-1.3]","2.2 [1.8-2.7]","0.3 [0.2-0.5]","1.9 [1.4-2.4]"
"Senegal","2016","DHS","18.2 [16.4-20.3]","15.4 [13.5-17.4]","14.4 [12.8-16.1]","12.8 [11.0-15.0]","6.9 [5.9-8.0]","7.5 [6.1-9.1]","0.9 [0.6-1.3]","1.8 [1.1-2.7]","0.6 [0.2-1.5]","1.5 [1.0-2.2]"
"Senegal","2015","DHS","22.2 [20.2-24.4]","18.3 [16.4-20.4]","17.1 [15.4-19.0]","14.5 [12.8-16.4]","7.7 [6.6-9.0]","8.0 [6.8-9.3]","1.1 [0.7-1.6]","2.1 [1.5-2.9]","0.5 [0.3-0.8]","1.8 [1.2-2.7]"
"Senegal","2014","DHS","20.5 [18.6-22.5]","16.2 [14.5-18.1]","14.5 [12.8-16.3]","10.3 [8.5-12.3]","6.4 [5.2-7.7]","5.2 [4.2-6.5]","0.8 [0.5-1.2]","0.6 [0.4-1.1]","0.6 [0.4-0.9]","2.3 [1.6-3.3]"
"Senegal","2012","DHS","20.9 [19.3-22.7]","15.7 [13.9-17.7]","18.8 [16.8-21.0]","13.6 [11.7-15.6]","9.1 [7.8-10.6]","8.8 [7.7-10.0]","1.5 [1.1-2.0]","2.6 [1.9-3.4]","0.6 [0.3-1.0]","2.7 [2.0-3.6]"
"Senegal","2010","DHS","29.7 [27.1-32.5]","22.6 [19.8-25.8]","20.4 [18.4-22.6]","15.7 [13.9-17.7]","8.8 [7.4-10.3]","11.9 [10.2-13.8]","1.6 [1.1-2.3]","3.5 [2.6-4.6]","1.4 [0.9-2.3]","4.5 [3.4-5.9]"
"Senegal","2005","DHS","23.0 [20.2-26.0]","15.9 [13.6-18.6]","15.6 [13.2-18.3]","13.2 [10.9-15.8]","6.8 [5.6-8.3]","11.2 [9.0-13.8]","1.3 [0.8-2.0]","3.6 [2.4-5.3]","1.7 [1.0-2.7]","3.6 [2.4-5.4]"
"Serbia","2019","MICS","5.4 [3.3-8.6]","5.5 [3.3-8.9]","1.1 [0.4-3.3]","0.9 [0.3-3.1]","2.4 [1.3-4.5]","2.9 [1.4-5.9]","0.4 [0.2-1.0]","0.7 [0.2-2.3]","12.8 [9.7-16.8]","7.9 [5.5-11.2]"
"Serbia","2014","MICS","4.5 [3.0-6.9]","8.2 [5.8-11.6]","1.6 [0.9-2.6]","2.1 [0.9-5.0]","3.3 [2.1-5.2]","4.8 [2.9-7.8]","1.3 [0.7-2.5]","0.8 [0.4-1.6]","12.7 [10.0-16.0]","15.7 [11.0-21.9]"
"Serbia","2010","MICS","5.1 [3.7-6.9]","9.4 [6.8-12.9]","1.1 [0.5-2.6]","2.5 [1.2-5.0]","2.4 [1.4-4.2]","5.5 [3.6-8.4]","0.5 [0.3-0.9]","1.3 [0.6-2.4]","13.8 [11.7-16.2]","18.9 [15.7-22.7]"
"Serbia","2005","MICS","7.7 [6.2-9.5]","8.9 [7.2-10.8]","1.5 [0.9-2.4]","2.1 [1.3-3.6]","3.3 [2.4-4.4]","6.4 [5.1-8.2]","1.3 [0.7-2.1]","2.7 [1.8-4.0]","18.1 [16.1-20.2]","21.2 [18.7-24.0]"
"Sierra Leone","2017","MICS","33.5 [31.8-35.1]","27.2 [25.5-29.0]","13.5 [12.4-14.6]","18.8 [17.5-20.2]","4.2 [3.6-5.0]","10.7 [9.5-11.9]","1.2 [0.9-1.5]","4.0 [3.2-4.9]","3.4 [2.9-4.1]","5.5 [4.7-6.3]"
"Sierra Leone","2005","MICS","52.1 [49.6-54.6]","35.9 [33.5-38.3]","25.8 [23.7-27.9]","28.9 [26.7-31.2]","6.5 [5.3-7.9]","15.9 [14.2-17.8]","2.9 [2.2-4.0]","6.5 [5.4-7.8]","5.5 [4.5-6.6]","6.6 [5.4-7.9]"
"Somalia","2006","MICS","50.6 [47.2-54.0]","28.3 [25.8-31.0]","38.9 [35.7-42.2]","23.2 [21.0-25.6]","11.5 [10.1-13.1]","16.4 [14.7-18.2]","2.9 [2.3-3.7]","6.7 [5.7-8.0]","3.7 [2.8-5.0]","6.4 [5.2-7.9]"
"South Africa","2016","DHS","24.9 [21.0-29.3]","31.4 [26.6-36.7]","5.7 [4.1-8.0]","6.2 [4.0-9.4]","2.5 [1.4-4.3]","2.5 [1.5-4.1]","0.3 [0.1-0.8]","1.0 [0.5-2.2]","10.1 [8.0-12.8]","18.5 [14.9-22.8]"
"South Sudan","2010","MICS","34.9 [32.8-37.0]","25.0 [22.8-27.4]","29.7 [27.7-31.7]","24.8 [22.8-27.0]","22.1 [20.0-24.3]","23.8 [21.7-26.0]","9.6 [8.2-11.3]","10.4 [9.0-12.0]","5.8 [4.9-7.0]","6.1 [5.0-7.4]"
"Sudan","2014","MICS","45.5 [43.0-48.0]","28.0 [26.0-30.1]","37.8 [35.5-40.3]","26.5 [24.8-28.3]","13.9 [12.7-15.2]","18.3 [16.6-20.1]","3.3 [2.8-3.8]","5.7 [4.8-6.6]","2.9 [2.0-4.2]","3.5 [2.8-4.4]"
"Suriname","2018","MICS","9.6 [7.7-12.0]","6.1 [4.6-8.2]","7.3 [5.8-9.2]","5.7 [4.3-7.4]","4.5 [3.4-5.9]","7.2 [5.3-9.7]","0.7 [0.3-1.3]","1.6 [0.8-3.5]","3.0 [2.3-4.0]","4.4 [3.1-6.2]"
"Suriname","2010","MICS","8.0 [6.6-9.8]","9.8 [7.9-12.1]","4.9 [3.9-6.3]","6.9 [5.4-8.7]","4.7 [3.5-6.2]","5.5 [4.1-7.3]","0.7 [0.4-1.4]","1.0 [0.5-2.0]","3.1 [2.2-4.5]","5.2 [3.8-7.2]"
"Suriname","2006","MICS","10.2 [8.1-12.8]","11.3 [8.9-14.3]","8.7 [7.1-10.5]","5.6 [4.2-7.6]","4.5 [3.4-6.0]","5.6 [4.1-7.5]","0.7 [0.4-1.4]","1.5 [0.8-2.7]","2.6 [1.8-3.7]","6.3 [4.6-8.6]"
"Syrian Arab Republic","2006","MICS","27.4 [25.8-29.1]","30.8 [29.1-32.6]","8.9 [8.0-9.9]","11.8 [10.7-13.0]","9.8 [8.8-10.9]","11.0 [9.9-12.2]","4.3 [3.7-5.0]","5.6 [4.8-6.5]","16.7 [15.4-18.1]","22.0 [20.5-23.6]"
"Tajikistan","2017","DHS","20.8 [18.9-22.9]","12.7 [11.2-14.4]","6.8 [5.7-8.0]","8.8 [7.6-10.1]","3.0 [2.4-3.7]","9.3 [8.1-10.8]","0.9 [0.6-1.3]","3.2 [2.5-4.2]","3.3 [2.7-4.2]","3.3 [2.6-4.2]"
"Tajikistan","2012","DHS","29.1 [26.9-31.4]","23.8 [21.4-26.5]","12.7 [10.8-14.7]","14.1 [12.3-16.1]","6.6 [5.4-8.1]","14.2 [12.6-16.0]","2.8 [2.1-3.7]","5.8 [4.8-7.1]","6.5 [5.2-8.2]","6.9 [5.4-8.8]"
"Tajikistan","2005","MICS","37.9 [35.2-40.7]","25.6 [22.3-29.3]","11.7 [10.1-13.5]","19.8 [17.4-22.4]","4.2 [3.1-5.5]","15.7 [13.7-18.0]","1.3 [0.8-2.0]","7.0 [5.6-8.7]","7.0 [5.6-8.8]","6.4 [4.6-8.7]"
"Thailand","2019","MICS","11.0 [9.7-12.5]","17.4 [14.4-20.8]","6.9 [5.7-8.2]","9.0 [7.2-11.3]","7.0 [5.6-8.6]","8.9 [6.9-11.5]","2.6 [1.7-3.8]","2.9 [2.0-4.3]","10.6 [9.1-12.4]","6.8 [5.5-8.4]"
"Thailand","2015","MICS","10.2 [8.6-11.9]","11.1 [9.2-13.4]","6.5 [5.3-8.1]","6.9 [5.2-9.0]","4.9 [3.5-6.7]","6.3 [4.9-8.1]","1.3 [0.7-2.3]","1.7 [1.0-2.7]","10.2 [8.8-11.8]","5.0 [3.7-6.6]"
"Thailand","2012","MICS","15.1 [13.2-17.2]","18.4 [15.6-21.6]","8.7 [7.5-10.1]","9.9 [8.1-12.0]","6.1 [5.2-7.2]","7.7 [6.2-9.5]","1.9 [1.4-2.7]","2.7 [1.9-3.8]","11.0 [9.5-12.8]","10.6 [8.7-12.9]"
"Thailand","2005","MICS","15.0 [13.4-16.8]","16.6 [14.7-18.7]","7.4 [6.4-8.7]","6.4 [5.4-7.5]","3.6 [2.9-4.4]","6.4 [5.4-7.5]","1.1 [0.8-1.5]","1.7 [1.3-2.4]","8.4 [7.4-9.4]","7.5 [6.4-8.7]"
"Timor-Leste","2009","DHS","62.1 [60.5-63.7]","49.4 [47.1-51.6]","51.5 [49.8-53.2]","34.1 [32.2-36.0]","18.6 [17.2-20.1]","19.4 [17.8-21.1]","7.1 [6.2-8.1]","8.5 [7.3-9.7]","3.9 [3.2-4.7]","9.4 [8.1-10.8]"
"Togo","2017","MICS","27.2 [24.8-29.7]","18.8 [16.4-21.4]","15.2 [13.5-17.0]","15.2 [13.5-17.1]","4.4 [3.6-5.4]","7.6 [6.3-9.2]","0.8 [0.5-1.3]","1.5 [1.0-2.2]","0.9 [0.6-1.4]","2.4 [1.6-3.6]"
"Togo","2013","DHS","33.2 [30.9-35.5]","19.5 [17.0-22.2]","16.7 [15.1-18.5]","15.2 [13.1-17.5]","3.1 [2.4-4.0]","11.8 [10.1-13.7]","0.4 [0.2-0.8]","3.0 [2.2-4.3]","1.8 [1.3-2.6]","2.3 [1.6-3.3]"
"Togo","2010","MICS","35.5 [32.9-38.3]","21.5 [19.3-23.9]","17.1 [15.5-18.9]","15.8 [13.9-17.9]","2.8 [2.2-3.6]","7.6 [6.4-9.1]","0.7 [0.4-1.1]","1.4 [0.9-2.2]","1.3 [0.8-2.2]","1.9 [1.2-3.1]"
"Togo","2006","MICS","41.4 [38.2-44.7]","17.5 [15.4-19.8]","24.1 [21.2-27.3]","22.3 [19.7-25.2]","9.3 [7.7-11.1]","22.3 [19.7-25.2]","3.6 [2.8-4.6]","9.1 [7.5-11.1]","4.4 [3.2-6.0]","5.6 [4.3-7.2]"
"Tonga","2019","MICS","2.2 [1.2-4.0]","2.2 [0.9-4.8]","1.0 [0.6-1.6]","0.4 [0.1-1.6]","1.0 [0.5-2.1]","1.1 [0.4-3.4]","0.6 [0.3-1.3]","","11.1 [8.5-14.3]","11.4 [7.5-16.9]"
"Trinidad and Tobago","2011","MICS","6.9 [5.0-9.4]","13.6 [9.9-18.4]","4.0 [2.7-5.9]","6.6 [4.1-10.4]","6.6 [4.7-9.1]","6.1 [3.8-9.6]","1.8 [0.9-3.3]","2.7 [1.2-5.8]","11.0 [8.5-14.1]","11.8 [8.5-16.1]"
"Tunisia","2018","MICS","8.2 [6.7-9.9]","8.8 [7.1-10.8]","1.0 [0.6-1.6]","2.6 [1.8-3.8]","1.4 [1.0-2.0]","3.2 [2.2-4.5]","0.6 [0.3-1.0]","1.6 [1.0-2.6]","15.8 [13.9-18.0]","19.7 [17.3-22.3]"
"Tunisia","2011","MICS","9.0 [7.3-11.0]","11.9 [9.8-14.3]","1.4 [0.9-2.2]","3.7 [2.6-5.2]","1.9 [1.1-3.1]","4.1 [2.9-5.8]","1.0 [0.5-2.0]","2.7 [1.7-4.2]","11.4 [9.7-13.3]","18.7 [16.0-21.8]"
"Türkiye","2013","DHS","10.4 [8.7-12.4]","9.4 [7.5-11.7]","2.6 [1.8-3.8]","1.9 [1.2-2.9]","0.9 [0.5-1.5]","3.3 [2.3-4.9]","0.2 [0.1-0.4]","0.9 [0.4-2.0]","9.0 [7.4-10.9]","14.3 [11.7-17.4]"
"Türkiye","2003","DHS","18.0 [16.2-19.9]","10.9 [9.1-12.9]","3.9 [3.1-4.9]","2.8 [1.9-4.1]","0.7 [0.4-1.2]","1.7 [1.2-2.4]","0.3 [0.1-1.0]","0.5 [0.2-1.2]","6.5 [5.6-7.5]","12.3 [10.6-14.3]"
"Türkiye","1998","DHS","24.5 [21.9-27.3]","11.4 [9.5-13.6]","7.9 [6.6-9.5]","5.8 [4.5-7.4]","1.3 [0.8-2.0]","5.2 [4.0-6.7]","0.3 [0.1-0.7]","1.4 [0.9-2.3]","3.2 [2.4-4.3]","4.5 [3.3-6.1]"
"Türkiye","1993","DHS","30.3 [27.5-33.2]","14.7 [12.8-16.8]","9.3 [7.5-11.5]","8.0 [6.3-10.0]","2.6 [1.9-3.4]","5.7 [4.4-7.2]","0.9 [0.5-1.5]","1.3 [0.8-2.0]","4.4 [3.4-5.5]","5.7 [4.6-6.9]"
"Turkmenistan","2019","MICS","5.2 [4.2-6.4]","10.7 [8.7-13.2]","2.1 [1.5-2.8]","4.8 [3.6-6.4]","3.1 [2.3-4.2]","5.9 [4.6-7.5]","0.9 [0.5-1.6]","1.4 [0.8-2.3]","2.8 [2.1-3.7]","3.6 [2.6-5.1]"
"Turkmenistan","2015","MICS","13.4 [11.5-15.7]","8.6 [7.2-10.3]","2.5 [1.7-3.7]","4.1 [3.2-5.4]","2.8 [1.9-4.0]","6.2 [4.9-7.7]","0.7 [0.4-1.4]","1.7 [1.1-2.6]","6.1 [4.9-7.5]","5.6 [4.5-7.0]"
"Turkmenistan","2006","MICS","20.9 [18.4-23.7]","16.0 [13.4-19.0]","7.2 [5.6-9.2]","11.9 [9.5-14.9]","3.8 [2.5-5.7]","11.9 [9.5-14.9]","1.4 [0.7-3.0]","3.1 [2.0-4.7]","3.9 [2.8-5.5]","5.3 [3.7-7.4]"
"Uganda","2016","DHS","31.4 [29.4-33.4]","25.1 [23.0-27.3]","9.7 [8.6-10.9]","11.4 [9.9-13.2]","1.8 [1.4-2.3]","6.0 [4.9-7.4]","0.5 [0.3-0.8]","2.5 [1.9-3.4]","2.4 [1.8-3.1]","6.0 [4.9-7.3]"
"Uganda","2011","DHS","38.2 [34.7-41.8]","27.2 [23.8-30.9]","12.9 [10.9-15.1]","15.8 [13.3-18.7]","2.1 [1.4-3.2]","8.3 [6.6-10.5]","0.7 [0.3-1.6]","2.5 [1.6-3.9]","3.3 [2.4-4.6]","4.2 [3.0-6.0]"
"Uganda","2006","DHS","43.3 [40.2-46.4]","31.8 [29.1-34.6]","14.3 [12.3-16.5]","19.0 [16.6-21.7]","2.3 [1.6-3.2]","11.8 [9.7-14.1]","0.5 [0.2-1.0]","4.5 [3.2-6.3]","4.8 [3.6-6.4]","4.9 [3.5-6.6]"
"Uganda","2000","DHS","50.5 [48.2-52.9]","37.8 [35.7-40.0]","17.7 [15.9-19.7]","21.0 [19.2-22.9]","2.1 [1.6-2.8]","8.8 [7.7-10.0]","0.8 [0.5-1.4]","2.5 [1.9-3.3]","4.5 [3.8-5.4]","5.6 [4.7-6.7]"
"United Republic of Tanzania","2015","DHS","39.4 [37.6-41.3]","27.5 [25.8-29.2]","14.7 [13.5-16.1]","12.2 [11.0-13.4]","3.0 [2.5-3.6]","6.7 [5.8-7.6]","0.7 [0.5-1.1]","1.9 [1.5-2.4]","2.4 [2.0-2.9]","5.5 [4.7-6.4]"
"United Republic of Tanzania","2010","DHS","46.5 [44.4-48.6]","35.9 [33.8-38.1]","16.5 [14.9-18.3]","15.6 [14.1-17.1]","2.8 [2.3-3.4]","7.9 [6.8-9.1]","0.7 [0.4-1.0]","2.3 [1.7-3.0]","3.3 [2.7-4.0]","8.3 [7.2-9.6]"
"United Republic of Tanzania","2004","DHS","50.5 [48.1-52.9]","36.4 [34.3-38.4]","17.8 [16.3-19.5]","15.2 [13.7-16.8]","2.2 [1.7-2.9]","5.3 [4.5-6.2]","0.6 [0.3-0.9]","1.6 [1.2-2.2]","3.8 [3.0-4.7]","6.5 [5.5-7.7]"
"United Republic of Tanzania","1999","DHS","58.5 [54.6-62.2]","36.6 [33.4-39.9]","26.2 [22.4-30.4]","24.3 [20.9-28.2]","3.5 [2.2-5.6]","8.1 [6.4-10.3]","1.1 [0.5-2.4]","3.1 [2.0-4.8]","3.3 [2.4-4.5]","3.2 [2.1-4.7]"
"United Republic of Tanzania","1996","DHS","57.8 [55.1-60.4]","40.6 [38.0-43.2]","26.7 [24.9-28.6]","27.0 [24.9-29.2]","5.5 [4.7-6.6]","12.0 [10.6-13.5]","1.9 [1.4-2.5]","4.2 [3.5-5.1]","4.4 [3.6-5.4]","4.7 [3.9-5.7]"
"Uzbekistan","2006","MICS","22.0 [20.0-24.1]","16.2 [14.4-18.2]","3.8 [3.1-4.8]","5.3 [4.2-6.6]","2.5 [1.8-3.6]","7.0 [5.8-8.5]","0.9 [0.6-1.5]","2.5 [1.8-3.5]","11.4 [10.0-12.9]","13.4 [11.7-15.3]"
"Vanuatu","2007","MICS","30.3 [26.2-34.7]","19.6 [15.6-24.3]","10.7 [8.5-13.4]","12.6 [9.3-16.9]","4.4 [3.1-6.4]","7.9 [5.7-10.9]","1.7 [1.0-3.0]","2.3 [1.2-4.1]","5.4 [4.0-7.3]","4.0 [2.5-6.2]"
"Viet Nam","2010","MICS","26.8 [24.7-29.1]","16.0 [13.8-18.5]","14.1 [12.4-16.0]","8.0 [6.5-9.8]","3.5 [2.6-4.5]","5.1 [4.0-6.5]","1.1 [0.7-1.7]","1.4 [0.8-2.4]","4.2 [3.4-5.1]","5.0 [3.7-6.6]"
"Yemen","2013","DHS","55.9 [54.2-57.7]","32.9 [31.2-34.7]","43.9 [42.2-45.6]","34.3 [32.6-36.0]","13.0 [11.9-14.1]","21.4 [20.0-22.9]","3.5 [3.0-4.1]","8.0 [7.1-9.0]","1.8 [1.5-2.2]","3.4 [2.8-4.1]"
"Zambia","2018","DHS","36.6 [35.0-38.2]","31.6 [29.9-33.3]","11.7 [10.7-12.8]","12.0 [10.8-13.3]","3.6 [3.0-4.2]","5.2 [4.4-6.3]","1.4 [1.0-1.8]","1.7 [1.3-2.4]","3.5 [3.0-4.2]","7.8 [6.8-9.0]"
"Zambia","2013","DHS","41.7 [40.2-43.3]","37.4 [35.8-39.0]","16.1 [15.1-17.1]","13.1 [12.0-14.3]","5.0 [4.4-5.7]","8.1 [7.2-9.1]","2.1 [1.7-2.6]","3.0 [2.5-3.6]","3.9 [3.4-4.6]","9.8 [8.8-10.8]"
"Zambia","2007","DHS","50.4 [48.0-52.8]","39.5 [36.9-42.1]","15.8 [14.4-17.3]","13.8 [12.3-15.4]","3.8 [3.1-4.5]","8.0 [6.9-9.3]","1.6 [1.3-2.2]","3.3 [2.6-4.2]","6.5 [5.5-7.7]","11.1 [9.8-12.6]"
"Zambia","2001","DHS","59.8 [57.6-62.0]","43.1 [40.9-45.3]","23.2 [21.5-25.0]","23.3 [21.5-25.1]","3.1 [2.5-3.8]","10.4 [9.1-11.9]","1.3 [0.9-1.8]","3.8 [3.0-4.7]","5.7 [4.9-6.7]","6.2 [5.3-7.2]"
"Zambia","1996","DHS","58.1 [55.8-60.4]","37.7 [35.6-39.9]","18.3 [17.0-19.8]","21.1 [19.5-22.7]","2.1 [1.6-2.8]","9.1 [8.0-10.3]","0.6 [0.4-1.0]","2.9 [2.3-3.7]","7.0 [6.0-8.1]","5.3 [4.4-6.4]"
"Zimbabwe","2019","MICS","25.3 [23.5-27.1]","20.7 [18.8-22.9]","9.6 [8.5-10.7]","9.8 [8.5-11.3]","2.1 [1.6-2.8]","4.1 [3.3-5.1]","0.2 [0.1-0.4]","0.6 [0.3-1.0]","1.9 [1.5-2.4]","3.5 [2.8-4.5]"
"Zimbabwe","2015","DHS","28.4 [26.5-30.3]","24.8 [22.7-27.1]","7.7 [6.7-8.8]","9.8 [8.4-11.4]","1.8 [1.4-2.3]","5.9 [4.9-7.1]","0.6 [0.3-0.9]","2.1 [1.5-2.9]","3.8 [3.2-4.6]","8.8 [7.5-10.3]"
"Zimbabwe","2014","MICS","29.8 [28.5-31.1]","24.3 [22.7-25.9]","10.8 [9.9-11.8]","11.6 [10.6-12.8]","2.0 [1.6-2.4]","5.1 [4.5-5.9]","0.4 [0.3-0.6]","1.2 [0.9-1.7]","2.6 [2.2-3.1]","5.1 [4.3-6.0]"
"Zimbabwe","2010","DHS","37.6 [35.7-39.5]","25.3 [23.4-27.2]","10.2 [9.1-11.4]","10.1 [8.8-11.6]","1.6 [1.2-2.1]","5.2 [4.3-6.3]","0.2 [0.1-0.5]","1.6 [1.2-2.3]","4.1 [3.4-5.0]","8.0 [6.8-9.5]"
"Zimbabwe","2009","MICS","37.0 [35.3-38.9]","31.3 [29.0-33.6]","11.9 [10.8-13.1]","11.3 [9.8-13.0]","1.4 [1.1-1.9]","4.3 [3.4-5.4]","0.4 [0.2-0.7]","0.7 [0.4-1.3]","2.9 [2.3-3.6]","4.7 [3.7-5.8]"
"Zimbabwe","2005","DHS","37.2 [34.7-39.7]","32.3 [30.0-34.8]","14.9 [13.3-16.7]","12.5 [11.0-14.2]","5.8 [5.0-6.9]","9.4 [8.0-11.1]","2.3 [1.8-3.0]","3.8 [2.9-5.0]","7.0 [6.0-8.1]","12.0 [10.5-13.8]"
"Zimbabwe","1999","DHS","36.6 [34.2-39.0]","29.7 [27.1-32.5]","12.6 [11.1-14.3]","10.0 [8.3-11.9]","5.6 [4.6-6.8]","12.3 [10.4-14.4]","2.4 [1.8-3.1]","6.7 [5.3-8.3]","8.3 [6.9-9.9]","13.8 [11.8-16.1]"
